,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Work Rate,Body Type,Real Face,Release Clause,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,193794,Asier Villalibre Molina,22,https://cdn.sofifa.com/players/193/794/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,71,78,Athletic Club de Bilbao,https://cdn.sofifa.com/teams/448/30.png,€3.8M,€14K,1768,Left,3 ★,3 ★,1 ★,Medium/ Medium,Stocky (170-185),No,€8.7M,ST,20,"Jul 1, 2015",2023,6'0,192lbs,71+2,71+2,71+2,64+0,67+0,67+0,67+0,64+0,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,50+2,51+2,51+2,51+2,50+2,49+2,52+2,52+2,52+2,49+2,19+2,29,8,250,34,72,,60,67,63,60,36,45,,69,,72,64,66,81,79,67,91,57,67,31,71,52,73,74,41,32,30,13,15,15,12,14
1,232432,Luka Jović,22,https://cdn.sofifa.com/players/232/432/21_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,80,85,Real Madrid,https://cdn.sofifa.com/teams/243/30.png,€33M,€140K,1915,Right,5 ★,3 ★,1 ★,Medium/ Medium,Stocky (170-185),Yes,€70.1M,ST,18,"Jul 1, 2019",2024,6'0,187lbs,80+2,80+2,80+2,77+0,79+0,79+0,79+0,77+0,76+2,76+2,76+2,76+2,69+2,69+2,69+2,76+2,55+2,53+2,53+2,53+2,55+2,51+2,47+2,47+2,47+2,51+2,17+2,218,30,956,67,83,79,73,83,80,77,46,58,81,74,76,76,80,77,82,75,75,79,75,62,23,82,70,66,79,25,26,16,8,7,12,9,13
2,170783,Cheick Tioté,30,https://cdn.sofifa.com/players/170/783/17_60.png,Ivory Coast,https://cdn.sofifa.com/flags/ci.png,76,76,Newcastle United,https://cdn.sofifa.com/teams/13/30.png,€3.8M,€50K,1945,Right,3 ★,2 ★,2 ★,Medium/ High,Stocky (170-185),Yes,,CDM,24,"Aug 26, 2010",2017,5'11,190lbs,64+1,64+1,64+1,65+0,65+0,65+0,65+0,65+0,66+1,66+1,66+1,67+1,69+1,69+1,69+1,67+1,73+1,75+1,75+1,75+1,73+1,73+1,77+-1,77+-1,77+-1,73+1,15+1,13,1,54,64,47,64,76,68,70,44,42,66,72,66,69,72,70,71,74,75,78,86,63,92,77,53,62,52,77,,78,78,6,6,12,9,9
3,259419,Takuhiro Nakai,16,https://cdn.sofifa.com/players/259/419/21_60.png,Japan,https://cdn.sofifa.com/flags/jp.png,62,86,Real Madrid,https://cdn.sofifa.com/teams/243/30.png,€1.2M,€3K,1487,Right,4 ★,4 ★,1 ★,Medium/ Medium,Normal (170-185),No,€3.7M,CAM,27,"Jul 1, 2020",2021,5'10,137lbs,55+2,55+2,55+2,59+0,60+0,60+0,60+0,59+0,62+2,62+2,62+2,60+2,60+2,60+2,60+2,60+2,47+2,48+2,48+2,48+2,47+2,45+2,40+2,40+2,40+2,45+2,14+2,50,5,166,42,50,43,68,48,67,50,52,66,69,56,65,55,53,68,53,57,53,50,48,37,22,50,70,48,61,31,32,38,9,10,10,6,11
4,181783,Mario Mandžukić,33,https://cdn.sofifa.com/players/181/783/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,83,83,Juventus,https://cdn.sofifa.com/teams/45/30.png,€16.5M,€145K,2094,Right,3 ★,3 ★,3 ★,High/ High,Lean (185+),Yes,€27.2M,ST,17,"Jul 1, 2015",2021,6'3,187lbs,81+2,81+2,81+2,76+0,78+0,78+0,78+0,76+0,76+3,76+3,76+3,76+3,75+3,75+3,75+3,76+3,71+3,72+3,72+3,72+3,71+3,70+3,73+3,73+3,73+3,70+3,19+3,51,8,147,72,83,90,75,84,75,64,49,67,79,61,73,65,88,55,83,85,79,87,61,88,66,87,74,75,80,59,64,60,10,8,5,8,15
5,224232,Nicolò Barella,23,https://cdn.sofifa.com/players/224/232/21_60.png,Italy,https://cdn.sofifa.com/flags/it.png,81,88,Inter,https://cdn.sofifa.com/teams/44/30.png,€51.5M,€90K,2147,Right,3 ★,3 ★,2 ★,Medium/ High,Normal (170-185),No,€97.9M,RCM,18,"Sep 1, 2020",2024,5'8,150lbs,71+2,71+2,71+2,78+0,77+0,77+0,77+0,78+0,79+2,79+2,79+2,80+2,81+2,81+2,81+2,80+2,80+2,80+2,80+2,80+2,80+2,78+2,73+2,73+2,73+2,78+2,18+2,208,17,1539,76,63,40,83,65,83,75,67,80,83,80,76,80,82,83,72,62,90,65,66,82,79,76,79,73,81,75,80,78,11,5,13,14,11
6,176635,Mesut Özil,31,https://cdn.sofifa.com/players/176/635/21_60.png,Germany,https://cdn.sofifa.com/flags/de.png,81,81,Arsenal,https://cdn.sofifa.com/teams/1/30.png,€21.5M,€95K,1835,Left,2 ★,4 ★,4 ★,Medium/ Low,Unique,Yes,€40.9M,CAM,10,"Sep 2, 2013",2021,5'11,157lbs,72+3,72+3,72+3,79+0,78+0,78+0,78+0,79+0,81+0,81+0,81+0,79+2,76+3,76+3,76+3,79+2,55+3,54+3,54+3,54+3,55+3,49+3,39+3,39+3,39+3,49+3,17+3,155,60,430,81,68,51,88,78,82,84,75,82,87,67,61,75,78,71,70,45,55,56,67,44,24,80,90,67,83,24,16,19,6,14,10,6,14
7,216201,Iñaki Williams Arthuer,26,https://cdn.sofifa.com/players/216/201/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,81,84,Athletic Club de Bilbao,https://cdn.sofifa.com/teams/448/30.png,€34M,€35K,2044,Right,2 ★,4 ★,2 ★,High/ Medium,Normal (185+),Yes,€74M,RS,9,"Aug 1, 2012",2028,6'1,174lbs,81+2,81+2,81+2,80+0,80+0,80+0,80+0,80+0,78+2,78+2,78+2,79+2,71+2,71+2,71+2,79+2,61+2,58+2,58+2,58+2,61+2,58+2,54+2,54+2,54+2,58+2,20+2,190,14,1677,76,79,73,74,74,81,76,53,66,76,93,94,77,78,64,85,88,83,82,78,75,21,85,73,64,81,47,34,29,14,15,14,10,13
8,189575,Iker Muniain Goñi,27,https://cdn.sofifa.com/players/189/575/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,83,Athletic Club de Bilbao,https://cdn.sofifa.com/teams/448/30.png,€38.5M,€41K,2048,Right,3 ★,4 ★,2 ★,Medium/ Low,Normal (170-),Yes,€80.9M,LM,10,"Aug 1, 2009",2024,5'7,146lbs,75+2,75+2,75+2,83+0,81+0,81+0,81+0,83+0,83+0,83+0,83+0,82+1,78+2,78+2,78+2,82+1,68+2,66+2,66+2,66+2,68+2,64+2,56+2,56+2,56+2,64+2,17+2,54,6,438,79,79,43,84,68,87,82,69,70,86,83,79,91,80,95,70,72,74,49,77,66,45,80,83,61,82,58,55,38,10,5,5,13,12
9,259233,Ilaix Moriba,17,https://cdn.sofifa.com/players/259/233/21_60.png,Guinea,https://cdn.sofifa.com/flags/gn.png,64,84,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€1.6M,€3K,1733,Right,3 ★,4 ★,1 ★,High/ Medium,Lean (170-185),No,€4.9M,CM,30,"Jul 1, 2020",2022,6'0,150lbs,62+2,62+2,62+2,62+0,63+0,63+0,63+0,62+0,64+2,64+2,64+2,62+2,64+2,64+2,64+2,62+2,62+2,63+2,63+2,63+2,62+2,62+2,61+2,61+2,61+2,62+2,17+2,26,3,120,40,59,58,64,48,65,46,47,62,66,69,74,69,66,59,60,58,70,61,65,56,63,55,63,48,45,58,64,60,9,14,15,10,12
10,210411,Otávio Edmilson da Silva Monteiro,25,https://cdn.sofifa.com/players/210/411/21_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,80,83,FC Porto,https://cdn.sofifa.com/teams/236/30.png,€28M,€17K,2029,Right,3 ★,4 ★,1 ★,High/ High,Normal (170-185),Yes,€58.1M,CAM,25,"Sep 1, 2014",2021,5'8,157lbs,73+2,73+2,73+2,79+0,78+0,78+0,78+0,79+0,79+2,79+2,79+2,79+2,76+2,76+2,76+2,79+2,69+2,68+2,68+2,68+2,69+2,66+2,60+2,60+2,60+2,66+2,19+2,48,4,539,79,67,56,77,63,86,80,72,75,85,78,74,85,81,80,73,45,74,58,67,76,54,76,80,72,80,64,52,43,11,12,9,10,15
11,158023,Lionel Messi,33,https://cdn.sofifa.com/players/158/023/21_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€103.5M,€560K,2231,Left,4 ★,4 ★,5 ★,Medium/ Low,Unique,Yes,€212.2M,RW,10,"Jul 1, 2004",2021,5'7,159lbs,89+3,89+3,89+3,92+0,93+0,93+0,93+0,92+0,93+0,93+0,93+0,91+2,87+3,87+3,87+3,91+2,66+3,65+3,65+3,65+3,66+3,62+3,52+3,52+3,52+3,62+3,19+3,1209,384,1204,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,32,35,24,6,11,15,14,8
12,259751,Matthew Hoppe,19,https://cdn.sofifa.com/players/259/751/21_60.png,United States,https://cdn.sofifa.com/flags/us.png,63,78,FC Schalke 04,https://cdn.sofifa.com/teams/34/30.png,€1.1M,€4K,1482,Right,4 ★,2 ★,1 ★,Medium/ Medium,Lean (185+),No,€2.6M,ST,43,"Jul 1, 2020",2021,6'1,172lbs,63+2,63+2,63+2,59+0,61+0,61+0,61+0,59+0,59+2,59+2,59+2,58+2,52+2,52+2,52+2,58+2,42+2,41+2,41+2,41+2,42+2,40+2,38+2,38+2,38+2,40+2,17+2,22,7,36,36,,62,55,,61,,34,41,63,62,66,,,,60,61,62,67,,,,,49,55,,22,22,18,14,12,9,7,14
13,254088,Amad Diallo,17,https://cdn.sofifa.com/players/254/088/21_60.png,Ivory Coast,https://cdn.sofifa.com/flags/ci.png,64,84,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€1.6M,€5K,1510,Left,4 ★,3 ★,1 ★,High/ Medium,Lean (170-185),No,€4.6M,ST,19,"Jan 2, 2021",2025,5'8,159lbs,64+2,64+2,64+2,67+0,67+0,67+0,67+0,67+0,65+2,65+2,65+2,65+2,57+2,57+2,57+2,65+2,45+2,40+2,40+2,40+2,45+2,42+2,32+2,32+2,32+2,42+2,17+2,65,3,210,50,66,45,57,44,73,42,38,51,72,79,79,73,64,77,60,56,55,36,56,32,13,74,55,55,63,17,16,22,13,15,8,11,6
14,253170,Attila Szalai,22,https://cdn.sofifa.com/players/253/170/21_60.png,Hungary,https://cdn.sofifa.com/flags/hu.png,71,83,,https://cdn.sofifa.com/flags/hu.png,€0,€0,1531,Right,4 ★,2 ★,1 ★,Medium/ High,Normal (185+),No,,LCB,4,,,6'4,183lbs,45+2,45+2,45+2,45+0,42+0,42+0,42+0,45+0,45+2,45+2,45+2,49+2,52+2,52+2,52+2,49+2,65+2,65+2,65+2,65+2,65+2,67+2,71+2,71+2,71+2,67+2,17+2,23,2,79,63,26,74,67,24,27,18,19,61,39,63,70,54,59,44,28,77,72,78,33,68,74,37,37,46,52,74,73,71,10,14,9,10,12
15,251854,Pedro González López,17,https://cdn.sofifa.com/players/251/854/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,74,90,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€10.5M,€13K,1845,Right,4 ★,4 ★,1 ★,High/ Medium,Lean (170-185),No,€28.1M,LM,16,"Aug 4, 2020",2022,5'9,134lbs,66+2,66+2,66+2,73+0,72+0,72+0,72+0,73+0,74+2,74+2,74+2,73+2,71+2,71+2,71+2,73+2,62+2,61+2,61+2,61+2,62+2,60+2,53+2,53+2,53+2,60+2,15+2,317,31,899,,63,,76,45,77,64,51,77,75,86,76,88,,88,,67,,,60,59,32,70,,53,,45,,53,12,7,11,8,8
16,203574,John Stones,26,https://cdn.sofifa.com/players/203/574/21_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,81,84,Manchester City,https://cdn.sofifa.com/teams/10/30.png,€30M,€120K,1859,Right,4 ★,3 ★,2 ★,High/ Medium,Lean (185+),Yes,€57.8M,CB,5,"Aug 9, 2016",2022,6'2,154lbs,60+2,60+2,60+2,65+0,64+0,64+0,64+0,65+0,67+2,67+2,67+2,69+2,73+2,73+2,73+2,69+2,77+2,80+2,80+2,80+2,77+2,78+2,81+2,81+2,81+2,78+2,18+2,125,24,1529,62,29,83,81,27,72,47,29,75,82,67,69,60,79,59,46,79,77,77,38,79,82,49,67,44,80,83,85,81,7,15,11,10,8
17,253072,Darwin Núñez,21,https://cdn.sofifa.com/players/253/072/21_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,75,87,SL Benfica,https://cdn.sofifa.com/teams/234/30.png,€14M,€11K,1850,Right,3 ★,3 ★,1 ★,High/ High,Normal (185+),No,€30.8M,ST,9,"Sep 4, 2020",2025,6'2,176lbs,75+2,75+2,75+2,70+0,72+0,72+0,72+0,70+0,68+2,68+2,68+2,68+2,61+2,61+2,61+2,68+2,53+2,52+2,52+2,52+2,53+2,52+2,51+2,51+2,51+2,52+2,18+2,76,7,220,44,76,73,66,67,72,64,61,47,72,82,81,76,70,54,82,72,75,81,70,81,25,75,53,74,72,34,34,30,14,10,12,10,13
18,232756,Fikayo Tomori,22,https://cdn.sofifa.com/players/232/756/21_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,76,85,Chelsea,https://cdn.sofifa.com/teams/5/30.png,€15.5M,€55K,1736,Right,4 ★,2 ★,1 ★,Medium/ Medium,Lean (185+),No,€32.6M,CB,14,"Jul 3, 2015",2021,6'1,172lbs,56+2,56+2,56+2,59+0,56+0,56+0,56+0,59+0,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,71+2,71+2,71+2,71+2,71+2,73+2,76+2,76+2,76+2,73+2,17+2,107,6,485,56,33,74,75,32,65,38,40,60,65,76,83,73,73,61,42,74,67,78,45,75,76,33,36,27,76,75,79,74,10,13,10,11,7
19,237383,Alessandro Bastoni,21,https://cdn.sofifa.com/players/237/383/21_60.png,Italy,https://cdn.sofifa.com/flags/it.png,77,85,Inter,https://cdn.sofifa.com/teams/44/30.png,€22M,€52K,1691,Left,3 ★,2 ★,1 ★,Medium/ Medium,Lean (185+),No,€41.8M,LCB,95,"Aug 31, 2017",2023,6'3,165lbs,54+2,54+2,54+2,55+0,55+0,55+0,55+0,55+0,57+2,57+2,57+2,59+2,63+2,63+2,63+2,59+2,69+2,73+2,73+2,73+2,69+2,71+2,77+2,77+2,77+2,71+2,17+2,110,14,928,47,26,77,,35,62,37,36,,66,59,65,42,77,57,49,71,63,,25,79,79,43,,47,69,79,81,78,11,5,9,11,12
20,246104,Ryan Gravenberch,18,https://cdn.sofifa.com/players/246/104/21_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,75,89,Ajax,https://cdn.sofifa.com/teams/245/30.png,€13M,€6K,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,239085,Erling Haaland,19,https://cdn.sofifa.com/players/239/085/21_60.png,Norway,https://cdn.sofifa.com/flags/no.png,85,92,Borussia Dortmund,https://cdn.sofifa.com/teams/22/30.png,€106M,€61K,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,254796,Noni Madueke,18,https://cdn.sofifa.com/players/254/796/21_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,72,87,PSV,https://cdn.sofifa.com/teams/247/30.png,€5.5M,€5K,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,251470,Charles De Ketelaere,19,https://cdn.sofifa.com/players/251/470/21_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,73,86,Club Brugge KV,https://cdn.sofifa.com/teams/231/30.png,€7.5M,€13K,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,237681,Takefusa Kubo,19,https://cdn.sofifa.com/players/237/681/21_60.png,Japan,https://cdn.sofifa.com/flags/jp.png,75,88,Getafe CF,https://cdn.sofifa.com/teams/1860/30.png,€13.5M,€59K,1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,245388,Jean-Clair Todibo,20,https://cdn.sofifa.com/players/245/388/21_60.png,France,https://cdn.sofifa.com/flags/fr.png,75,86,SL Benfica,https://cdn.sofifa.com/teams/234/30.png,€11.5M,€68K,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,255475,Antony Matheus dos Santos,20,https://cdn.sofifa.com/players/255/475/21_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,79,88,Ajax,https://cdn.sofifa.com/teams/245/30.png,€38.5M,€17K,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,253163,Ronald Araujo,21,https://cdn.sofifa.com/players/253/163/21_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,71,81,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€3.9M,€45K,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,205175,Arkadiusz Milik,26,https://cdn.sofifa.com/players/205/175/21_60.png,Poland,https://cdn.sofifa.com/flags/pl.png,80,83,Napoli,https://cdn.sofifa.com/teams/48/30.png,€28M,€75K,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,251517,Joško Gvardiol,18,https://cdn.sofifa.com/players/251/517/21_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,71,87,Dinamo Zagreb,https://cdn.sofifa.com/teams/211/30.png,€4.5M,€500,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,228941,André Miguel Valente da Silva,24,https://cdn.sofifa.com/players/228/941/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,81,84,Eintracht Frankfurt,https://cdn.sofifa.com/teams/1824/30.png,€35.5M,€37K,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
