,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,AF,F1N,F1P,F2N,F2P,F3N,F3P,F4N,F4P,F5N,F5P,F6N,F6P,F7N,F7P,F8N,F8P,F9N,F9P,F10N,F10P,F11N,F11P,HS,AS,result
0,4-2-3-1,47,FW,17,LW,7,RW,25,AM,10,DM,21,DM,23,LB,13,CB,3,CB,4,RB,12,GK,3-4-3,9,FW,14,LW,12,RW,34,CM,25,CM,15,WB,2,WB,3,CB,6,CB,16,CB,1,GK,0,3,away
1,4-4-2,9,FW,11,FW,15,LM,10,RM,22,DM,18,DM,27,LB,6,CB,8,CB,2,RB,31,GK,4-4-2,9,FW,10,FW,11,LM,20,RM,6,DM,8,DM,3,LB,35,CB,5,CB,2,RB,1,GK,1,0,home
2,4-3-3,9,FW,10,LW,11,RW,5,CM,8,CM,14,DM,26,LB,4,CB,12,CB,66,RB,1,GK,4-1-4-1,9,FW,22,LM,43,CM,19,CM,17,RM,23,DM,15,LB,21,CB,5,CB,2,RB,1,GK,4,3,home
3,4-2-3-1,30,FW,18,LW,20,RW,16,AM,41,DM,28,DM,3,LB,21,CB,23,CB,24,RB,1,GK,4-4-2,7,FW,13,FW,16,RM,10,RM,14,DM,8,DM,15,LB,18,CB,6,CB,19,RB,26,GK,0,2,away
4,3-4-3,7,FW,11,LW,12,RW,19,DM,8,DM,3,WB,2,WB,27,CB,5,CB,6,CB,1,GK,4-1-4-1,9,FW,15,LM,26,CM,8,CM,17,RM,24,DM,2,LB,4,CB,25,CB,27,RB,1,GK,0,3,away
5,4-2-3-1,10,FW,7,LW,27,RW,20,AM,8,DM,5,DM,33,LB,15,CB,4,CB,2,RB,1,GK,4-3-3,9,FW,7,LW,19,RW,21,CM,16,CM,6,DM,12,LB,5,CB,13,CB,23,RB,1,GK,0,1,away
6,3-5-2,10,FW,9,FW,4,CM,7,CM,16,DM,3,WB,2,WB,5,CB,12,CB,6,CB,1,GK,3-4-3,10,FW,7,AM,9,AM,28,DM,32,DM,5,WB,37,WB,27,CB,16,CB,15,CB,11,GK,0,2,away
7,3-5-2,11,FW,9,FW,17,CM,14,CM,8,DM,20,WB,2,WB,4,CB,5,CB,3,CB,1,GK,4-2-2-2,11,FW,12,FW,19,AM,29,AM,5,DM,7,DM,3,LB,15,CB,4,CB,24,RB,1,GK,1,3,away
8,4-3-3,9,FW,7,LW,19,RW,21,CM,16,CM,6,DM,12,LB,5,CB,13,CB,23,RB,1,GK,3-4-3,7,FW,11,LW,12,RW,19,CM,8,CM,3,WB,2,WB,27,CB,5,CB,6,CB,1,GK,5,2,home
9,4-1-4-1,9,FW,22,LM,43,CM,20,CM,17,RM,23,DM,15,LB,6,CB,5,CB,2,RB,1,GK,4-2-3-1,9,FW,17,LW,47,RW,25,AM,21,DM,29,DM,23,LB,4,CB,3,CB,2,RB,1,GK,4,3,home
10,4-2-3-1,9,FW,10,LW,21,RW,18,AM,39,DM,6,DM,23,LB,5,CB,2,CB,24,RB,1,GK,4-4-2,11,FW,9,FW,15,LM,10,RM,22,DM,18,DM,27,LB,12,CB,8,CB,2,RB,31,GK,1,3,away
11,3-4-3,9,FW,14,LW,12,RW,34,CM,8,CM,7,WB,2,WB,31,CB,6,CB,16,CB,1,GK,3-4-3,30,FW,18,LW,20,RW,41,DM,28,DM,26,WB,24,WB,3,CB,21,CB,23,CB,1,GK,2,1,home
12,4-4-2,9,FW,10,FW,12,LM,17,RM,6,DM,8,DM,3,LB,35,CB,5,CB,2,RB,1,GK,4-3-3,10,FW,7,LW,27,RW,28,CM,5,CM,8,DM,33,LB,15,CB,6,CB,2,RB,1,GK,2,5,away
13,4-4-2,13,FW,7,FW,10,LM,8,CM,16,RM,14,DM,15,LB,18,CB,6,CB,19,RB,26,GK,3-4-3,7,FW,9,LW,11,RW,17,CM,8,CM,20,WB,2,WB,4,CB,5,CB,3,CB,1,GK,0,3,away
14,4-3-3,29,FW,11,LW,19,RW,17,CM,7,CM,5,DM,3,LB,15,CB,4,CB,24,RB,1,GK,4-3-3,9,FW,10,LW,11,RW,5,CM,8,CM,14,DM,26,LB,4,CB,3,CB,66,RB,1,GK,0,2,away
15,4-1-4-1,9,FW,15,LM,26,CM,8,CM,17,RM,24,DM,2,LB,4,CB,25,CB,27,RB,1,GK,4-4-2,9,FW,19,FW,11,LM,12,RM,8,DM,18,DM,3,LB,34,CB,28,CB,26,RB,1,GK,4,2,home
16,4-3-3,11,FW,10,LW,17,RW,7,CM,14,CM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,3-5-2,17,FW,14,FW,4,LM,7,CM,8,CM,3,LB,2,RB,5,CB,12,DM,6,RM,1,GK,1,0,home
17,3-5-2,10,FW,9,FW,7,CM,28,CM,8,DM,5,WB,37,WB,27,CB,16,CB,15,CB,11,GK,4-2-3-1,9,FW,7,LW,47,RW,17,AM,16,CM,25,CM,22,LB,6,CB,5,CB,2,RB,31,GK,1,3,away
18,3-4-3,7,FW,9,LW,11,RW,17,DM,14,DM,20,WB,2,WB,4,CB,5,CB,3,CB,1,GK,4-2-3-1,9,FW,10,LW,11,RW,18,AM,31,DM,6,DM,23,LB,5,CB,2,CB,29,RB,1,GK,2,3,away
19,4-4-2,11,FW,9,FW,25,LM,18,CM,22,CM,10,RM,27,LB,12,CB,8,CB,2,RB,31,GK,4-3-3,9,FW,7,LW,19,RW,21,CM,16,CM,6,DM,12,LB,5,CB,13,CB,23,RB,1,GK,1,2,away
20,3-4-3,7,FW,11,AM,12,AM,19,CM,8,CM,14,WB,2,WB,27,CB,5,CB,6,CB,1,GK,4-2-3-1,9,FW,11,LW,19,RW,29,AM,17,CM,7,CM,3,LB,6,CB,4,CB,24,RB,13,GK,3,3,draw
21,4-4-2,27,FW,9,FW,11,LM,8,RM,16,DM,18,DM,3,LB,34,CB,28,CB,26,RB,1,GK,4-4-2,9,FW,10,FW,12,LM,6,CM,8,CM,17,RM,3,LB,4,CB,35,CB,2,RB,1,GK,0,1,away
22,3-5-2,14,FW,17,FW,23,CM,7,CM,8,DM,3,WB,2,WB,19,CB,22,CB,6,CB,1,GK,3-5-2,11,FW,9,FW,15,CM,43,CM,23,DM,22,WB,17,WB,6,CB,5,CB,2,CB,1,GK,0,1,away
23,4-2-3-1,10,FW,7,LW,27,RW,18,AM,8,DM,5,DM,33,LB,15,CB,6,CB,2,RB,1,GK,3-4-3,13,FW,9,LW,24,RW,16,CM,8,CM,11,WB,19,WB,18,CB,6,CB,14,CB,26,GK,1,1,draw
24,4-2-3-1,7,FW,47,LW,26,RW,17,AM,16,DM,25,DM,22,LB,6,CB,50,CB,2,RB,31,GK,3-4-3,9,FW,15,LW,26,RW,24,DM,8,DM,2,WB,27,WB,4,CB,6,CB,18,CB,1,GK,2,5,away
25,3-4-3,30,FW,18,AM,20,AM,41,DM,28,DM,26,WB,24,WB,3,CB,21,CB,4,CB,1,GK,3-4-3,9,FW,7,LW,37,RW,28,CM,8,CM,29,WB,22,WB,27,CB,16,CB,15,CB,11,GK,4,0,home
26,3-4-3,9,FW,17,AM,14,AM,10,DM,29,DM,23,WB,2,WB,13,CB,3,CB,4,CB,1,GK,4-3-3,11,FW,10,LW,17,RW,14,CM,7,CM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,0,3,away
27,4-3-3,9,FW,10,LW,11,RW,5,CM,8,CM,3,DM,26,LB,4,CB,12,CB,66,RB,1,GK,3-4-3,9,FW,14,LW,12,RW,34,DM,25,DM,15,WB,2,WB,3,CB,23,CB,16,CB,1,GK,3,1,home
28,4-2-3-1,9,FW,11,LW,20,RW,29,AM,5,DM,7,DM,21,LB,15,CB,6,CB,28,RB,16,GK,4-4-2,9,FW,11,FW,25,LM,22,CM,18,CM,10,RM,27,LB,12,CB,8,CB,2,RB,31,GK,4,0,home
29,4-3-3,9,FW,7,LW,19,RW,10,CM,16,CM,26,DM,12,LB,5,CB,13,CB,23,RB,1,GK,3-4-3,7,FW,9,LW,11,RW,17,DM,8,DM,20,WB,2,WB,4,CB,5,CB,3,CB,1,GK,4,2,home
30,4-5-1,9,FW,10,LM,43,CM,11,CM,17,RM,23,DM,15,LB,6,CB,5,CB,2,RB,1,GK,4-3-3,26,FW,7,LW,21,RW,47,CM,17,CM,16,DM,22,LB,14,CB,3,CB,2,RB,31,GK,1,1,draw
31,4-4-2,13,FW,9,FW,10,LM,16,RM,14,DM,8,DM,15,LB,18,CB,5,CB,17,RB,26,GK,4-4-2,9,FW,10,FW,11,LM,16,CM,18,CM,8,RM,3,LB,5,CB,28,CB,26,RB,1,GK,3,1,home
32,3-4-3,9,FW,15,LW,17,RW,24,DM,8,DM,2,WB,27,WB,4,CB,6,CB,18,CB,1,GK,3-4-3,30,FW,18,CM,20,CM,41,DM,28,DM,26,WB,5,WB,3,CB,21,CB,4,CB,1,GK,0,3,away
33,4-4-2,9,FW,10,FW,12,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,4-2-3-1,7,FW,11,LW,21,RW,12,RW,19,DM,8,DM,14,LB,5,CB,6,CB,27,RB,1,GK,2,0,home
34,4-3-3,30,FW,14,LW,12,RW,7,CM,25,CM,8,DM,3,LB,6,CB,23,CB,2,RB,1,GK,3-5-2,17,FW,14,FW,23,CM,7,CM,8,DM,3,WB,2,WB,19,CB,12,CB,6,CB,1,GK,2,1,home
35,3-5-2,10,FW,9,FW,7,CM,32,CM,8,DM,27,WB,22,WB,49,CB,16,CB,15,CB,11,GK,4-2-3-1,9,FW,23,LW,17,RW,14,AM,29,CM,10,CM,33,LB,20,CB,13,CB,34,RB,1,GK,1,0,home
36,4-2-3-1,9,FW,10,LW,11,RW,18,AM,6,CM,31,CM,23,LB,5,CB,3,CB,29,RB,1,GK,4-3-3,10,FW,7,LW,11,RW,28,CM,17,CM,5,DM,3,LB,15,CB,6,CB,24,RB,1,GK,1,6,away
37,4-2-3-1,11,FW,10,LW,17,RW,20,AM,7,DM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,4-3-3,9,FW,20,LW,11,RW,5,CM,8,CM,3,DM,26,LB,4,CB,12,CB,66,RB,13,GK,7,2,home
38,4-3-3,9,FW,7,LW,19,RW,21,CM,16,CM,6,DM,12,LB,5,CB,13,CB,23,RB,1,GK,4-3-3,9,FW,10,LW,11,RW,6,CM,14,CM,3,DM,26,LB,4,CB,32,CB,66,RB,13,GK,2,2,draw
39,4-2-3-1,11,FW,19,LW,10,RW,29,AM,7,DM,5,DM,21,LB,15,CB,4,CB,28,RB,1,GK,4-4-2,9,FW,10,FW,11,LM,6,CM,8,CM,32,RM,3,LB,4,CB,35,CB,2,RB,1,GK,3,3,draw
40,3-5-2,10,FW,7,FW,20,CM,27,CM,16,DM,47,WB,26,WB,6,CB,3,CB,2,CB,31,GK,3-4-3,12,FW,14,LW,19,RW,8,DM,34,DM,7,WB,2,WB,3,CB,6,CB,23,CB,1,GK,1,0,home
41,4-1-4-1,13,FW,10,LM,16,CM,8,CM,9,RM,14,DM,15,LB,18,CB,6,CB,17,RB,26,GK,4-2-3-1,10,FW,21,LW,8,RW,18,AM,17,DM,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,1,4,away
42,3-5-2,17,FW,9,FW,7,CM,8,CM,16,DM,13,WB,2,WB,3,WB,12,CB,6,CB,1,GK,4-2-3-1,9,FW,19,LW,17,RW,15,AM,29,DM,10,DM,33,LB,13,CB,16,CB,34,RB,1,GK,1,1,draw
43,4-4-2,11,FW,23,FW,15,LM,18,CM,44,CM,10,RM,27,LB,24,CB,8,CB,2,RB,31,GK,3-4-3,9,FW,11,LW,14,RW,8,CM,3,DM,20,WB,2,WB,33,CB,5,CB,4,CB,1,GK,1,1,draw
44,4-2-3-1,10,FW,7,LW,23,RW,28,AM,5,CM,17,CM,3,LB,6,CB,4,CB,24,RB,1,GK,3-4-3,30,FW,18,AM,20,AM,41,DM,28,DM,26,WB,5,WB,3,CB,21,CB,4,CB,1,GK,3,3,draw
45,4-1-4-1,14,FW,15,LM,26,CM,8,CM,17,RM,24,DM,2,LB,6,CB,3,CB,27,RB,1,GK,4-2-3-1,11,FW,10,LW,17,RW,20,AM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
46,4-5-1,29,FW,11,LM,17,CM,18,CM,12,RM,8,DM,14,LB,26,CB,20,CB,2,RB,1,GK,4-4-2,9,FW,10,FW,11,LM,7,RM,8,DM,18,DM,3,LB,5,CB,28,CB,23,RB,1,GK,0,0,draw
47,4-1-4-1,9,FW,22,LM,20,CM,43,CM,17,RM,23,DM,15,LB,21,CB,5,CB,2,RB,1,GK,3-5-2,10,FW,9,FW,7,CM,32,CM,28,DM,27,WB,22,WB,49,CB,16,CB,15,CB,11,GK,0,1,away
48,4-2-3-1,11,FW,10,LW,17,RW,20,AM,6,CM,7,CM,18,LB,5,CB,4,CB,2,RB,26,GK,4-4-1-1,9,FW,20,AM,22,LM,43,CM,21,CM,17,RM,10,LB,2,CB,5,CB,15,RB,1,GK,0,3,away
49,3-4-3,30,FW,18,LW,20,RW,41,CM,28,CM,26,WB,5,WB,3,CB,21,CB,4,CB,1,GK,4-3-3,10,FW,7,LW,26,RW,8,CM,20,CM,16,DM,27,LB,50,CB,3,CB,2,RB,31,GK,1,1,draw
50,4-3-3,9,FW,19,LW,15,RW,10,CM,29,CM,18,DM,33,LB,13,CB,16,CB,34,RB,1,GK,4-4-2,11,FW,23,FW,15,LM,10,RM,44,DM,4,DM,27,LB,6,CB,8,CB,17,RB,31,GK,1,2,away
51,4-2-3-1,10,FW,21,LW,8,RW,18,AM,17,DM,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,3-4-3,11,FW,10,AM,29,AM,7,DM,5,DM,21,WB,24,WB,15,CB,6,CB,28,CB,16,GK,0,0,draw
52,4-2-3-1,11,FW,10,LW,20,RW,9,AM,5,DM,14,DM,26,LB,12,CB,3,CB,66,RB,1,GK,3-5-2,24,FW,9,FW,7,CM,8,CM,22,DM,23,WB,2,WB,3,CB,12,CB,6,CB,1,GK,2,1,home
53,4-4-2,10,FW,9,FW,11,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,4-3-3,9,FW,17,LW,19,RW,10,CM,16,CM,6,DM,12,LB,5,CB,13,CB,22,RB,1,GK,2,0,home
54,3-4-3,9,FW,10,LW,7,RW,8,CM,32,CM,27,WB,22,WB,49,CB,16,CB,15,CB,11,GK,3-5-2,10,FW,13,FW,24,CM,21,CM,16,DM,15,WB,23,WB,18,CB,6,CB,5,CB,26,GK,1,1,draw
55,3-4-3,9,FW,7,LW,14,RW,8,DM,18,DM,3,WB,2,WB,34,CB,6,CB,23,CB,1,GK,3-4-3,15,FW,10,AM,26,AM,24,DM,8,DM,2,WB,27,WB,28,CB,6,CB,3,CB,1,GK,0,1,away
56,3-4-3,9,FW,11,LW,14,RW,8,CM,3,CM,20,WB,2,WB,33,CB,34,CB,4,CB,1,GK,4-1-4-1,29,FW,11,LM,17,CM,18,CM,12,RM,8,DM,14,LB,6,CB,20,CB,2,RB,1,GK,1,1,draw
