player_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
192985,https://sofifa.com/player/192985/kevin-de-bruyne/210002/,K. De Bruyne,Kevin De Bruyne,29,1991-06-28,181,70,Belgium,Manchester City,English Premier League,1,91,91,129000000,370000,CM,Right,4,5,4,High/ High,Unique,Yes,161000000,"#Dribbler, #Playmaker , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,17,,2015-08-30,2023,RCM,7,76,86,93,88,64,78,,,,,,,"Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,68,65,53,15,13,5,10,13,83+3,83+3,83+3,88+0,88+0,88+0,88+0,88+0,89+2,89+2,89+2,89+2,89+2,89+2,89+2,89+2,79+3,80+3,80+3,80+3,79+3,75+3,69+3,69+3,69+3,75+3
212831,https://sofifa.com/player/212831/alisson-ramses-becker/210002/,Alisson,Alisson Ramsés Becker,27,1992-10-02,181,70,Brazil,Liverpool,English Premier League,1,90,91,102000000,160000,GK,Right,3,3,1,Medium/ Medium,Unique,Yes,120300000,,GK,1,,2018-07-19,2024,"13 Finishing
","19 Heading Accuracy
",,,,,,,86,88,85,89,51,91,"GK Long Throw, Rushes Out Of Goal",17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,86,88,85,91,89,36+3,36+3,36+3,35+0,38+0,38+0,38+0,35+0,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,30+3,30+3,30+3,30+3
209331,https://sofifa.com/player/209331/mohamed-salah/210002/,M. Salah,Mohamed Salah Ghaly,28,1992-06-15,181,70,Egypt,Liverpool,English Premier League,1,90,90,120500000,250000,RW,Left,3,3,4,High/ Medium,Unique,Yes,144300000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",RW,11,,2017-07-01,2023,RW,10,93,86,81,90,45,75,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",79,91,59,84,79,90,83,69,75,89,94,92,91,92,91,80,69,85,75,84,63,55,91,84,83,90,38,43,41,14,14,9,11,14,85+3,85+3,85+3,88+0,88+0,88+0,88+0,88+0,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3
208722,https://sofifa.com/player/208722/sadio-mane/210002/,S. Mané,Sadio Mané,28,1992-04-10,181,70,Senegal,Liverpool,English Premier League,1,90,90,120500000,250000,LW,Right,3,4,4,High/ Medium,Unique,Yes,144300000,"#Speedster, #Dribbler, #Acrobat",LW,10,,2016-07-01,2023,"90 Finishing
","84 Heading Accuracy
",94,85,80,90,44,76,,,,,,,"Flair, Speed Dribbler (AI)",76,90,84,85,75,91,76,64,71,89,95,93,93,93,86,84,86,88,70,78,75,35,92,85,71,84,42,42,38,10,10,15,7,14,88+2,88+2,88+2,89+0,89+0,89+0,89+0,89+0,88+2,88+2,88+2,88+2,81+3,81+3,81+3,88+2,69+3,65+3,65+3,65+3,69+3,66+3,59+3,59+3,59+3,66+3
203376,https://sofifa.com/player/203376/virgil-van-dijk/210002/,V. van Dijk,Virgil van Dijk,28,1991-07-08,181,70,Netherlands,Liverpool,English Premier League,1,90,91,113000000,210000,CB,Right,3,3,2,Medium/ Medium,Unique,Yes,145300000,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,4,,2018-01-01,2023,LCB,4,76,60,71,71,91,86,,,,,,,"Solid Player, Leadership, Long Passer (AI), Power Header",53,52,87,79,45,70,60,70,86,77,72,79,61,89,53,81,90,75,92,64,83,90,47,65,62,90,93,93,86,13,10,13,11,11,70+3,70+3,70+3,68+0,69+0,69+0,69+0,68+0,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,85+3,85+3,85+3,80+3,82+3,89+2,89+2,89+2,82+3
200104,https://sofifa.com/player/200104/heung-min-son/210002/,H. Son,손흥민 孙兴慜,27,1992-07-08,181,70,Korea Republic,Tottenham Hotspur,English Premier League,1,87,87,85000000,165000,CF,Right,3,5,4,High/ High,Unique,Yes,99800000,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LM,7,,2015-08-28,2023,"86 Finishing
","68 Heading Accuracy
",88,86,80,87,43,69,,,,,,,"Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",81,86,68,83,81,88,85,70,70,87,86,90,86,89,78,88,56,87,64,90,62,39,88,83,73,88,50,34,33,11,13,13,6,10,84+3,84+3,84+3,86+0,87+0,87+0,87+0,86+0,86+1,86+1,86+1,85+2,79+3,79+3,79+3,85+2,68+3,63+3,63+3,63+3,68+3,64+3,54+3,54+3,54+3,64+3
202126,https://sofifa.com/player/202126/harry-kane/210002/,H. Kane,Harry Kane,26,1993-07-28,181,70,England,Tottenham Hotspur,English Premier League,1,88,89,109000000,220000,ST,Right,3,4,3,High/ High,Unique,Yes,140200000,"#Distance Shooter, #Clinical Finisher",ST,10,,2010-07-01,2024,ST,9,68,91,80,80,47,83,,,,,,,"Leadership, Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot, Team Player",75,94,85,81,85,80,80,68,83,84,66,69,69,90,73,91,79,84,84,86,81,35,93,83,90,91,56,36,38,8,10,11,14,11,86+3,86+3,86+3,82+0,85+0,85+0,85+0,82+0,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,65+3,66+3,66+3,66+3,65+3,62+3,61+3,61+3,61+3,62+3
215914,https://sofifa.com/player/215914/ngolo-kante/210002/,N. Kanté,N'Golo Kanté,29,1991-03-29,181,70,France,Chelsea,English Premier League,1,88,88,78000000,190000,CM,Right,3,3,2,Medium/ High,Unique,Yes,96900000,"#Tackling , #Tactician ",RDM,7,,2016-07-16,2023,LCM,13,77,66,76,81,86,82,,,,,,,,68,65,54,85,56,79,49,49,79,80,79,76,82,91,92,71,77,96,72,65,90,91,72,79,54,85,89,90,85,15,12,10,7,10,72+3,72+3,72+3,77+0,77+0,77+0,77+0,77+0,79+3,79+3,79+3,79+3,82+3,82+3,82+3,79+3,85+3,86+2,86+2,86+2,85+3,84+3,83+3,83+3,83+3,84+3
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/210002/,Ederson,Ederson Santana de Moraes,26,1993-08-17,181,70,Brazil,Manchester City,English Premier League,1,88,91,92000000,195000,GK,Left,2,3,1,Medium/ Medium,Unique,Yes,103000000,,GK,31,,2017-07-01,2024,"14 Finishing
","14 Heading Accuracy
",,,,,,,86,82,93,88,63,86,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",20,14,14,57,18,23,15,20,59,40,64,63,60,87,48,70,66,41,78,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88,39+2,39+2,39+2,40+0,43+0,43+0,43+0,40+0,46+2,46+2,46+2,44+2,47+2,47+2,47+2,44+2,37+2,43+2,43+2,43+2,37+2,35+2,35+2,35+2,35+2,35+2
202652,https://sofifa.com/player/202652/raheem-sterling/210002/,R. Sterling,Raheem Shaquille Sterling,25,1994-12-08,181,70,England,Manchester City,English Premier League,1,88,90,114500000,270000,RW,Right,3,3,4,High/ Medium,Unique,Yes,139600000,"#Speedster, #Dribbler, #Acrobat",LW,7,,2015-07-14,2023,LW,7,93,81,79,90,45,67,,,,,,,"Flair, Speed Dribbler (AI)",78,85,46,84,67,90,77,63,69,88,96,90,94,90,94,78,57,79,65,79,59,30,92,82,69,80,47,53,47,15,12,12,15,9,81+3,81+3,81+3,87+0,87+0,87+0,87+0,87+0,86+3,86+3,86+3,86+3,79+3,79+3,79+3,86+3,69+3,64+3,64+3,64+3,69+3,65+3,55+3,55+3,55+3,65+3
