match_id,home_tean_id,home_form,away_tean_id,away_form,ht_score,ft_score
8652699,3690,4-3-3,3695,3-4-3,0-0,1-0
8653704,3694,4-5-1,3698,4-3-3,2-0,4-0
8653710,3696,3-4-3,3691,3-4-3,0-0,0-0
8653711,4227,4-4-2,3693,4-4-2,0-2,0-2
8654660,3701,4-2-3-1,3704,4-3-3,1-0,2-0
8654662,3699,4-3-3,3700,3-5-2,0-1,3-1
15007421,3698,4-1-4-1,3699,4-3-3,1-0,2-0
15007424,3691,3-4-3,3701,4-2-3-1,0-1,1-1
15007430,3704,4-3-3,3690,4-1-4-1,0-1,1-2
15161335,3695,3-5-2,3694,4-2-3-1,1-0,2-3
15161338,3700,3-5-2,4227,3-5-2,0-0,1-0
15161340,3693,4-4-2,3696,3-4-3,0-0,0-0
15164358,3701,4-2-3-1,3700,3-5-2,1-1,1-2
15165260,3699,4-3-3,3693,4-3-3,1-0,1-1
15165261,3695,3-5-2,3696,3-4-3,0-0,1-0
15165265,3698,4-5-1,4227,4-3-3,1-0,1-0
15166416,3690,4-1-4-1,3691,3-4-3,0-0,2-0
15166419,3694,4-2-3-1,3704,4-3-3,0-0,1-1
15168932,3691,3-4-3,3698,4-3-3,0-0,1-1
15170126,3699,4-3-3,3690,4-5-1,1-0,1-0
15170134,3704,4-3-3,3695,3-5-2,0-0,0-0
15170141,4227,4-3-3,3694,4-5-1,1-1,1-1
15174656,3700,3-5-2,3693,5-3-2,0-0,0-1
15174671,3696,3-4-3,3701,4-2-3-1,1-2,1-4
15198472,3696,3-4-3,3699,4-3-3,1-1,1-2
15204014,3700,3-5-2,3690,4-1-4-1,1-1,1-4
15204019,3704,4-2-3-1,3698,4-1-4-1,1-0,1-1
15204025,3701,4-2-3-1,3694,4-1-4-1,0-2,0-4
15208732,3693,5-3-2,3691,3-5-2,0-0,1-2
15208739,3695,3-5-2,4227,3-5-2,0-0,0-1
15238374,3694,4-1-4-1,3693,4-4-2,0-0,1-0
15238385,3690,4-5-1,3696,3-4-3,0-0,1-0
15238401,3698,3-5-2,3701,4-3-3,1-2,2-4
15238407,3695,3-5-2,3699,4-3-3,1-1,2-2
15243188,3691,3-4-3,3700,3-5-2,3-0,6-0
15243193,4227,4-3-3,3704,4-1-2-3,0-1,3-1
15244141,3699,4-4-2,3694,4-2-3-1,0-0,0-3
15244142,3701,4-2-3-1,3690,4-1-4-1,1-0,1-2
15244143,3693,4-4-2,3695,3-5-2,0-2,0-2
15244597,4227,4-3-3,3696,3-4-3,1-0,2-1
15244598,3698,4-1-4-1,3700,3-5-2,0-0,1-0
15244599,3704,4-1-4-1,3691,3-4-1-2,1-1,2-2
15245648,3700,4-3-3,3694,4-5-1,0-0,0-2
15245650,3701,4-4-2,3699,4-4-2,0-0,2-0
15245652,3693,4-3-3,3698,4-3-3,0-0,0-1
15246049,3696,3-4-3,3704,4-5-1,0-0,0-1
15246050,3690,4-5-1,4227,4-3-3,0-0,1-0
15246051,3691,3-4-3,3695,3-5-2,0-1,3-1
15247839,4227,4-3-3,3701,4-5-1,0-1,0-2
15248416,3704,4-5-1,3693,4-3-3,0-1,1-1
15248418,3700,3-5-2,3696,4-5-1,0-0,1-0
15248421,3691,3-4-3,3699,4-3-3,0-0,2-1
15248787,3694,4-5-1,3690,4-5-1,0-1,0-2
15248789,3695,3-5-2,3698,4-3-3,0-0,0-1
15257434,3694,4-5-1,3696,4-5-1,3-1,4-1
15257419,3699,4-3-3,3704,4-1-4-1,1-1,2-4
15257431,3695,3-5-2,3700,3-5-2,3-1,3-3
15258981,4227,4-2-3-1,3691,3-4-3,1-0,2-4
15258983,3698,4-1-4-1,3690,4-1-4-1,0-0,1-0
15258985,3693,3-4-3,3701,4-2-3-1,0-2,0-4
15266834,3704,4-5-1,3700,3-5-2,0-0,2-0
15268485,3696,4-5-1,3698,4-3-3,0-0,1-1
15268486,3690,4-4-2,3693,4-4-2,0-2,2-2
15268491,3701,4-2-3-1,3695,3-5-2,0-1,1-1
15270216,3691,3-4-3,3694,4-5-1,0-1,1-3
15270218,3699,3-4-3,4227,4-3-3,2-1,4-1
21327004,3704,4-5-1,4227,4-3-3,0-0,0-0
21327009,3698,4-1-4-1,3691,3-4-3,0-0,2-0
21327005,3700,3-5-2,3701,4-2-3-1,1-0,1-3
21549705,3696,4-5-1,3690,4-5-1,1-0,1-1
21549707,3695,3-5-2,3693,5-4-1,0-0,0-1
21549711,3694,4-5-1,3699,4-4-2,1-0,1-0
26624227,3698,4-3-3,3694,4-5-1,1-3,1-5
26624228,3693,4-3-3,3699,4-3-3,0-0,0-0
26624231,4227,4-3-3,3695,3-4-3,0-0,0-1
26890529,3691,3-4-3,3704,4-5-1,2-0,3-0
26890531,3690,4-5-1,3700,3-5-2,2-0,3-0
26890535,3701,4-5-1,3696,4-4-2,1-1,1-1
31236837,3690,4-1-4-1,3701,4-2-3-1,0-0,2-1
31236839,3693,4-3-3,3700,4-5-1,1-1,1-2
31236847,3696,4-2-3-1,4227,4-3-3,1-0,1-3
31475343,3704,4-1-4-1,3694,4-1-4-1,0-1,1-2
31475345,3699,4-3-3,3698,4-3-3,1-1,2-2
31475347,3695,4-1-4-1,3691,3-4-1-2,0-0,0-1
34762481,3700,4-5-1,3699,4-3-3,1-0,2-0
35237147,3701,4-3-3,4227,4-3-3,0-0,1-1
35237149,3694,4-5-1,3695,4-3-3,0-0,0-0
35237150,3691,3-4-3,3690,4-5-1,0-2,0-2
35524670,3696,4-5-1,3693,4-3-3,0-0,0-2
35524675,3698,3-5-2,3704,4-3-3,0-0,2-0
40069872,3693,3-4-3,3704,4-3-3,0-0,1-1
40765181,3700,4-5-1,3698,4-3-3,1-1,2-1
40765184,3695,4-1-4-1,3690,4-1-2-3,0-2,1-3
40765185,3694,4-5-1,3701,5-4-1,0-0,2-0
41232601,3691,3-4-3,3696,3-4-3,0-1,0-1
41232761,4227,4-3-3,3699,4-3-3,1-1,2-2
42448893,3696,3-5-2,3695,4-5-1,0-0,1-0
42448892,4227,4-3-3,3700,4-5-1,0-0,0-0
42448895,3704,4-5-1,3701,4-5-1,2-0,2-1
42448887,3699,3-4-3,3691,3-4-3,0-0,0-0
42448896,3690,4-5-1,3698,4-3-3,1-1,2-1
42448891,3693,4-3-3,3694,4-5-1,0-2,1-2
42448898,3698,4-3-3,3696,3-4-3,2-1,3-1
42448903,3695,3-5-2,3704,4-5-1,0-1,3-1
15263,3694,4-5-1,3700,4-5-1,2-0,3-0
15265,3690,4-1-4-1,3699,3-4-3,0-0,1-2
42448901,3701,4-2-3-1,3693,5-4-1,0-1,2-1
42448905,3691,3-4-3,4227,4-3-3,1-2,4-6
1269821,3698,4-1-4-1,3695,3-5-2,0-0,1-0
1299375,3699,3-4-3,3696,3-5-2,0-0,2-3
1299376,3694,4-5-1,4227,4-4-2,0-1,1-1
42448942,3690,4-4-2,3694,4-3-3,1-0,2-1
42448947,4227,4-3-3,3698,4-1-4-1,0-0,0-1
42448951,3704,4-3-3,3699,3-5-2,0-0,1-2
42448934,3695,3-4-3,3701,4-5-1,0-0,0-0
42448939,3696,3-5-2,3700,4-5-1,0-0,1-0
42448935,3691,3-5-2,3693,4-3-3,2-1,3-2
42448923,3693,4-5-1,4227,4-3-3,0-1,0-2
42448930,3700,4-5-1,3691,3-5-2,0-0,0-0
1323341,3691,3-5-2,3694,4-1-4-1,1-1,2-2
1323342,3698,4-3-3,3690,4-5-1,0-0,0-1
1323335,3694,4-5-1,3698,4-3-3,2-1,4-1
1323771,4227,3-5-2,3691,3-5-2,0-0,0-1
1323772,3690,4-5-1,3701,4-5-1,0-0,0-1
1324058,3699,3-4-3,3693,3-5-2,0-0,2-1
1324059,3700,4-5-1,3704,4-5-1,0-1,1-2
1324060,3696,3-5-2,3695,3-5-2,0-1,0-1
1330669,3699,3-4-3,3696,3-5-2,2-0,3-1
1330670,3698,4-3-3,3691,3-5-2,2-0,2-1
1330671,3693,3-5-2,3700,4-5-1,0-0,0-1
1330672,3704,4-5-1,3695,3-5-2,0-0,0-0
1330673,3690,4-5-1,4227,4-3-3,2-0,4-1
1330674,3701,4-5-1,3694,4-5-1,1-0,4-0
41035768,2264,4-1-4-1,2266,4-2-3-1,1-0,1-0
41035774,2260,4-2-3-1,105,4-2-3-1,2-0,2-1
41035785,2263,3-4-3,2255,4-1-4-1,0-0,1-1
41035790,2264,4-3-3,2265,4-2-3-1,0-0,1-2
41035803,2260,4-3-3,2263,3-5-2,0-1,0-3
41035815,105,4-2-3-1,2259,3-5-2,2-1,3-1
41035829,2805,4-3-3,86,4-1-2-3,0-1,0-5
41035854,2264,4-3-3,2255,4-3-3,0-0,0-0
41035897,2265,4-3-3,2266,4-3-3,1-0,2-2
41035901,105,4-3-3,2262,5-3-2,0-0,2-1
41035932,2259,4-3-3,2257,3-4-3,2-1,2-3
41035941,2805,4-3-3,2265,4-3-3,2-1,3-1
41035944,2264,4-5-1,2263,4-5-1,2-0,4-1
41035961,2260,4-3-3,2262,3-5-2,0-0,1-0
41035967,2265,4-4-2,2256,4-2-3-1,1-0,3-1
41035971,105,4-4-2,2254,4-2-3-1,1-0,1-0
41035974,86,5-3-2,2266,4-2-3-1,0-1,1-1
41035977,2263,4-4-2,2261,4-1-4-1,0-0,0-0
41035982,2255,4-2-3-1,2805,4-4-2,0-1,1-3
41035985,2259,4-3-3,2260,4-3-3,0-0,0-1
41035995,2805,4-1-4-1,2263,3-5-2,1-0,1-2
41035997,105,4-4-2,2265,4-3-3,0-1,2-2
41036000,2258,4-3-3,86,3-5-2,0-1,0-2
41036004,2266,4-2-3-1,2255,4-1-2-3,1-0,2-0
41036021,2263,5-3-2,2259,5-4-1,0-0,1-0
41036024,2255,4-3-3,2258,4-1-2-3,0-1,1-2
41036039,2264,4-5-1,2254,4-3-3,2-1,2-1
41036041,2261,4-3-3,2266,4-2-3-1,0-1,3-1
41036045,2805,4-4-1-1,2260,4-2-3-1,2-2,2-2
41036048,2258,4-3-3,2264,4-3-3,0-1,1-2
41036067,2265,4-1-2-3,86,4-1-2-3,0-1,2-1
41036070,105,3-4-1-2,2261,4-3-3,0-1,0-2
41036073,2266,4-2-3-1,2805,4-2-3-1,0-1,1-2
41036077,2265,4-2-3-1,2261,4-1-3-2,2-1,3-2
41036080,86,4-1-2-3,2259,4-3-3,1-0,2-0
41036084,2257,4-4-2,2266,5-4-1,0-1,1-2
41036092,2805,4-3-3,2258,4-3-3,0-1,0-2
41036102,2261,4-3-3,2265,4-3-3,1-0,1-1
41036106,2264,4-3-3,2256,4-2-3-1,0-0,0-0
41036116,2265,4-4-2,2805,4-4-2,0-0,1-0
41036133,2260,4-3-3,2255,4-3-3,2-0,2-0
41036138,105,4-2-3-1,2263,4-3-3,1-2,1-2
41036155,2805,4-3-3,2256,4-2-3-1,0-0,1-1
41036164,2263,4-4-2,86,4-1-2-3,1-1,1-2
41036170,2264,4-3-3,2260,4-1-4-1,0-0,0-0
41036210,2805,4-4-2,2259,4-5-1,0-0,1-0
41036229,2263,3-5-2,2265,3-4-3,0-0,1-1
41036232,2264,4-4-2,105,4-2-3-1,0-0,2-0
41036235,105,4-2-3-1,2257,4-4-2,1-0,2-1
41036246,2255,4-1-2-3,2263,3-5-2,1-0,1-0
41036252,2266,4-5-1,2261,4-3-3,0-0,0-1
41036256,2260,4-3-3,2259,4-5-1,1-0,5-0
41036259,2265,4-5-1,2264,4-5-1,0-0,0-0
41036278,2261,4-1-3-2,2262,4-3-3,1-0,3-1
41036288,2264,4-2-3-1,86,4-1-2-3,1-1,1-2
41036315,2254,4-3-3,2264,4-3-3,1-0,1-2
41036339,105,4-2-3-1,2260,4-2-3-1,1-0,1-0
41036363,2264,4-2-3-1,2262,4-3-3,0-0,1-0
41036389,2263,4-3-1-2,2257,4-4-2,3-2,5-2
41036404,2260,3-4-3,2805,4-5-1,0-0,2-1
41036414,2265,3-4-3,105,4-2-3-1,1-1,1-1
1294953,2805,4-1-2-3,2264,4-3-3,0-0,2-0
41036434,2265,4-1-2-3,2260,4-4-2,1-0,1-1
41036437,105,4-2-3-1,2266,4-3-2-1,0-2,1-3
1335000,2805,4-3-3,2255,4-2-3-1,2-0,4-0
1335777,2264,4-3-3,2257,4-4-2,4-0,6-1
1391024,2255,4-3-3,2264,4-5-1,0-1,0-3
1391033,2265,4-4-2,2259,5-3-2,2-0,3-1
1411496,105,4-2-3-1,86,3-4-1-2,1-1,1-2
1690332,2256,4-2-3-1,2265,4-3-3,0-0,0-1
1690341,2264,4-3-3,2258,4-3-3,2-0,7-0
1690347,2805,4-1-4-1,2257,4-4-2,1-0,1-1
14202,3,4-2-3-1,4,4-3-3,0-1,0-5
14229,13,4-2-3-1,17,3-5-2,0-1,0-1
14239,10,4-2-3-1,16,3-5-2,2-1,3-2
14240,18,4-3-3,13,4-2-3-1,1-2,2-2
14241,1,4-3-3,17,5-4-1,2-1,3-1
14242,16,5-3-2,20,3-4-3,0-3,2-5
14243,13,4-2-3-1,9,4-4-2,4-0,4-0
14244,6,3-5-2,8,3-4-3,0-0,0-1
14245,19,4-2-3-1,15,4-1-4-1,1-0,1-0
14246,12,4-3-3,7,4-4-2,0-0,1-1
14247,2,4-2-3-1,4,4-3-3,2-1,3-2
14248,5,4-4-2,10,4-2-3-1,1-1,3-1
14249,11,4-2-3-1,18,4-1-3-2,0-2,2-2
14250,14,4-3-3,3,4-2-3-1,0-0,0-0
14251,8,4-3-3,5,4-4-2,0-2,1-3
14252,15,4-1-4-1,13,4-3-3,0-1,2-1
14253,7,4-4-2,2,4-2-3-1,2-0,2-0
14254,10,4-2-3-1,6,3-5-2,0-1,0-2
14255,4,4-3-3,11,4-1-4-1,5-0,8-0
14256,17,5-4-1,12,4-3-1-2,0-0,0-0
14257,3,4-1-4-1,19,4-2-3-1,1-0,2-0
14258,9,4-3-3,16,3-4-3,0-0,1-1
14259,18,4-2-3-1,14,4-3-3,0-1,3-2
14260,20,4-2-3-1,1,4-3-3,0-2,1-2
14261,6,3-5-2,1,4-3-3,0-0,0-1
14262,16,3-4-3,11,4-2-3-1,1-0,2-0
14263,13,4-1-2-3,8,3-4-3,2-1,2-1
14264,9,4-3-2-1,2,4-2-3-1,1-0,2-0
14265,20,4-2-3-1,12,3-4-3,0-0,2-0
14266,5,4-4-2,3,4-1-4-1,1-1,2-2
14267,14,4-3-3,7,4-4-2,1-0,2-2
14268,10,4-2-3-1,4,4-3-3,1-1,1-3
14269,15,4-1-4-1,17,4-2-3-1,1-0,5-0
14270,19,4-2-3-1,18,4-3-3,1-0,1-1
14271,12,3-5-2,13,4-3-3,2-0,3-0
14272,2,4-2-3-1,14,4-3-3,0-2,1-5
14273,11,3-4-3,6,3-5-2,0-0,0-0
14274,1,4-3-3,15,4-1-4-1,1-0,2-1
14275,7,4-4-2,10,4-2-3-1,0-0,1-0
14276,3,4-1-4-1,9,4-3-2-1,0-0,1-2
14277,8,4-2-2-2,20,4-2-3-1,1-3,1-4
14278,18,4-3-3,5,4-4-2,1-0,1-0
14279,4,4-3-3,16,3-5-2,0-0,0-2
14280,17,5-4-1,19,4-2-3-1,0-0,1-0
14281,10,4-2-3-1,3,4-1-4-1,1-0,2-0
14282,13,3-4-3,11,5-4-1,0-1,1-1
14283,14,4-3-3,12,4-4-2,1-1,2-1
14284,5,4-4-2,2,4-2-3-1,0-0,0-0
14285,20,4-2-3-1,17,5-4-1,0-0,1-0
14286,15,4-1-4-1,7,4-4-2,1-1,2-1
14287,16,3-5-2,8,3-5-2,0-0,1-1
14288,9,4-1-4-1,4,3-5-2,0-2,0-2
14289,19,3-4-3,1,4-3-3,1-0,1-1
14290,6,3-5-2,18,4-2-3-1,1-0,1-0
14291,8,3-4-3,15,4-1-4-1,0-5,0-9
14292,4,4-3-3,14,4-1-4-1,0-0,3-0
14293,3,4-1-4-1,6,3-5-2,1-0,1-1
14294,11,3-5-2,5,4-4-2,0-0,0-0
14295,12,4-4-2,10,4-2-3-1,1-1,3-2
14296,7,4-4-1-1,20,4-3-3,0-2,2-4
14297,17,5-4-1,16,3-4-3,1-0,1-1
14298,1,4-3-3,13,4-2-3-1,0-1,2-1
14299,2,4-1-4-1,19,4-2-3-1,0-2,1-3
14300,18,4-2-3-1,9,4-3-2-1,2-1,2-2
14301,5,4-4-2,19,4-2-3-1,1-0,1-0
14302,3,4-1-4-1,17,5-4-1,0-2,2-3
14303,18,4-4-2,16,3-4-3,1-0,1-1
14304,14,4-3-3,1,4-3-3,1-0,1-2
14305,12,4-4-2,2,4-2-3-1,0-0,2-0
14306,4,4-3-3,8,5-3-2,0-1,2-1
14307,6,3-5-2,7,4-4-2,3-0,3-0
14308,11,3-4-3,20,4-2-3-1,0-1,1-2
14309,9,4-3-2-1,15,4-1-4-1,0-0,0-2
14310,10,4-2-3-1,13,4-2-3-1,0-0,1-1
14311,2,4-2-3-1,11,5-3-2,0-1,0-2
14312,20,4-2-3-1,9,4-3-2-1,0-0,2-0
14313,7,4-4-2,3,4-1-4-1,2-0,3-0
14314,8,3-5-2,10,4-2-3-1,0-1,1-2
14315,13,4-2-3-1,6,3-5-2,0-0,1-1
14316,17,5-4-1,5,4-4-2,1-1,2-1
14317,15,4-1-4-1,18,4-3-1-2,0-0,2-0
14318,16,3-4-3,14,4-3-3,1-0,2-1
14319,19,4-2-3-1,12,4-2-2-2,2-0,3-1
14320,1,4-3-3,4,4-3-3,2-0,3-1
14321,3,4-1-4-1,13,4-2-3-1,0-2,2-3
14322,18,3-4-1-2,8,4-3-3,1-1,2-2
14323,5,3-4-3,16,3-4-3,0-2,1-2
14324,12,3-4-3,15,4-1-4-1,0-0,0-2
14325,9,4-3-2-1,1,4-3-3,0-0,1-2
14326,10,4-2-3-1,2,4-1-4-1,0-0,0-2
14327,11,5-3-2,7,4-4-2,0-0,0-3
14328,4,4-3-3,20,4-3-3,2-1,2-1
14329,6,3-5-2,19,3-4-3,1-0,3-3
14330,14,4-3-3,17,3-4-3,2-0,2-0
14331,17,5-4-1,4,4-3-3,1-1,2-2
14332,13,4-2-3-1,5,4-4-2,1-0,3-2
14333,20,4-2-3-1,3,4-1-4-1,0-0,0-1
14334,1,4-3-3,12,4-3-3,2-0,2-1
14335,7,4-4-2,9,4-3-2-1,0-1,0-2
14336,8,4-4-2,11,5-3-2,0-1,2-1
14337,2,4-2-3-1,18,4-3-1-2,2-1,2-2
14338,16,3-4-3,6,3-5-2,0-1,1-1
14339,19,4-2-3-1,14,4-3-3,1-1,2-2
14340,15,4-1-4-1,10,3-4-3,0-1,2-1
14341,9,4-3-2-1,5,4-4-2,0-0,1-0
14342,7,4-3-2-1,4,4-3-3,0-1,1-4
14343,8,4-4-2,2,4-2-3-1,2-0,2-1
14344,20,4-3-3,14,4-3-3,1-1,2-1
14345,19,4-2-3-1,13,4-2-3-1,1-1,2-1
14346,16,3-4-3,3,4-4-1-1,1-0,2-0
14347,15,4-1-4-1,11,4-3-3,0-0,2-0
14348,1,4-3-3,10,5-4-1,4-2,5-2
14349,6,3-5-2,17,5-4-1,0-1,0-2
14350,18,4-2-3-1,12,3-4-3,0-1,1-2
14351,10,4-4-2,20,4-2-3-1,1-0,3-1
14352,5,4-4-2,1,4-3-3,0-2,0-3
14353,13,4-2-3-1,7,4-4-2,3-0,5-0
14354,11,4-3-3,9,4-3-2-1,0-0,0-0
14355,4,4-3-3,19,4-2-3-1,0-2,1-2
14356,14,4-1-4-1,15,4-1-4-1,1-2,1-4
14357,17,5-4-1,8,4-4-2,0-0,2-1
14358,2,4-2-3-1,6,3-5-2,1-0,1-2
14359,12,4-3-1-2,16,3-4-3,2-2,2-2
14360,3,4-4-1-1,18,4-2-3-1,1-0,1-3
14361,1,4-2-3-1,11,4-2-3-1,1-0,2-0
14362,7,4-4-2,17,5-4-1,0-0,1-0
14363,20,4-2-3-1,5,4-3-2-1,0-0,0-1
14364,15,4-3-1-2,2,4-2-3-1,1-1,1-1
14365,6,3-5-2,14,4-3-3,0-0,2-0
14366,8,4-4-2,3,4-3-2-1,0-1,0-1
14367,19,4-2-3-1,10,4-2-2-2,0-1,1-1
14368,16,3-4-3,13,4-2-3-1,0-1,1-2
14369,18,4-2-3-1,4,4-3-3,0-3,0-3
14370,9,4-3-3,12,4-3-3,0-0,1-1
14371,10,4-2-3-1,18,4-2-3-1,0-0,0-0
14373,17,5-4-1,9,4-3-3,0-0,1-0
14374,2,4-2-3-1,16,3-4-3,1-0,1-2
14375,5,4-5-1,7,4-4-2,0-0,0-1
14376,14,4-3-3,8,4-4-2,0-2,1-3
14377,12,4-2-3-1,6,3-5-2,0-1,0-1
14378,4,4-3-3,15,4-1-4-1,2-1,3-1
14379,11,4-2-3-1,19,4-2-3-1,0-0,2-0
14380,13,4-2-3-1,20,3-4-3,0-2,0-2
14381,13,4-2-3-1,12,3-4-3,0-1,2-1
14382,6,3-5-2,11,4-3-3,1-1,1-1
14383,14,4-3-3,2,4-2-3-1,0-0,1-0
14384,5,3-5-2,18,4-2-3-1,1-0,1-1
14385,20,3-4-3,8,4-4-2,0-1,0-2
14386,9,4-3-3,3,4-4-2,0-0,2-1
14387,10,4-4-2,7,4-4-2,0-0,1-0
14388,19,4-3-3,17,3-5-2,3-1,4-1
14389,15,4-1-4-1,1,4-3-3,0-1,0-4
14390,16,3-4-3,4,4-3-3,0-1,3-2
14391,12,4-3-3,5,4-4-2,1-0,2-0
14392,8,4-4-2,9,4-3-2-1,0-0,1-1
14393,11,4-2-3-1,14,4-3-3,1-0,3-0
14394,17,3-5-2,10,4-4-2,0-1,1-2
14395,3,4-2-3-1,15,4-4-1-1,1-1,1-2
14396,2,4-2-3-1,13,4-2-3-1,1-0,2-2
14397,7,4-4-2,19,4-2-3-1,0-1,0-2
14398,18,4-2-3-1,20,3-4-3,1-0,1-2
14399,1,4-3-3,16,3-5-2,1-0,1-0
14400,4,4-3-3,6,3-5-2,0-0,2-0
14401,12,4-2-3-1,20,4-2-3-1,0-1,1-1
14402,7,4-4-2,14,5-4-1,0-2,1-2
14403,17,3-5-2,15,4-1-4-1,0-2,0-3
14404,8,4-4-2,13,4-2-3-1,1-0,1-0
14405,11,4-2-3-1,16,3-4-3,1-0,2-1
14406,4,4-2-3-1,10,3-4-3,0-0,2-1
14407,2,4-3-3,9,4-3-2-1,1-0,1-1
14408,3,4-1-4-1,5,4-3-3,3-0,4-0
14409,18,4-2-3-1,19,4-2-3-1,2-0,2-0
14410,1,4-3-3,6,3-5-2,1-0,2-0
14411,6,3-5-2,3,4-4-1-1,0-0,1-0
14412,9,4-3-3,18,4-2-3-1,0-1,1-1
14413,15,4-1-4-1,8,4-4-2,1-1,1-2
14414,19,4-2-3-1,2,4-2-3-1,1-0,4-0
14415,16,3-4-3,17,3-4-3,1-1,1-1
14416,10,4-4-2,12,3-4-3,1-0,1-0
14417,20,4-3-3,7,4-4-1-1,2-0,3-0
14418,13,3-4-3,1,4-3-3,0-1,0-1
14419,5,4-4-2,11,4-2-3-1,0-1,0-3
14420,14,3-5-2,4,3-4-1-2,0-4,1-6
14421,11,4-2-3-1,13,4-2-3-1,0-0,0-0
14422,2,4-2-3-1,5,4-3-3,1-0,1-0
14423,3,4-4-1-1,10,4-4-2,1-1,1-1
14424,8,4-4-2,16,3-4-3,2-0,2-3
14425,4,4-3-3,9,4-5-1,0-1,2-2
14426,12,4-4-2,14,3-4-3,1-0,1-1
14427,18,4-2-3-1,6,3-5-2,1-0,1-1
14428,17,5-4-1,20,4-3-3,0-0,1-0
14429,7,4-4-2,15,4-1-4-1,0-1,2-1
14430,1,4-3-3,19,3-4-1-2,1-0,2-0
14431,14,3-4-3,11,4-2-3-1,0-1,2-1
14432,5,4-4-2,12,4-3-3,2-0,3-1
14433,10,4-4-2,17,5-4-1,1-0,2-2
14434,6,5-3-2,4,4-2-3-1,0-0,0-1
14435,9,4-5-1,8,4-4-2,0-1,0-2
