id,continent,country,name,seasons
1082,Europe,Belgium,Jupiler League,"2020, 2019, 2020"
1358,South America,Brazil,Brasileiro Serie A,"2019, 2020"
574,Europe,England,Championship,"2020, 2019, 2020"
580,Europe,England,League One,"2020, 2019, 2020"
581,Europe,England,League Two,"2020, 2019, 2020"
583,Europe,England,England Premier League,"2020, 2019, 2020"
764,Europe,France,Ligue 1,"2020, 2019, 2020"
594,Europe,Germany,Bundesliga,"2020, 2019, 2020"
719,Europe,Italy,Serie A,"2020, 2019, 2020"
2645,Asia,Japan,J1 League,"2020, 2019"
2646,Asia,Japan,J2 League,"2020, 2019"
3136,Asia,Republic of Korea,K League 1,"2020, 2019"
2802,North America,Mexico,Liga MX - Apertura,"2020, 2019, 2020"
2878,Europe,Netherlands,Eredivisie,"2020, 2019, 2020"
3104,Europe,Portugal,Primeira Liga,"2020, 2019, 2020"
3217,Europe,Russia,Russia Premier League,"2020, 2019, 2020"
3281,Europe,Scotland,Premiership,"2020, 2019, 2020"
637,Europe,Spain,LaLiga,"2020, 2019, 2020"
3439,Europe,Sweden,Allsvenskan,"2020, 2019"
3699,North America,USA,MLS,"2020, 2019"
