match_id,season,HTF,HP1N,HP1P,HP2N,HP2P,HP3N,HP3P,HP4N,HP4P,HP5N,HP5P,HP6N,HP6P,HP7N,HP7P,HP8N,HP8P,HP9N,HP9P,HP10N,HP10P,HP11N,HP11P,ATF,AP1N,AP1P,AP2N,AP2P,AP3N,AP3P,AP4N,AP4P,AP5N,AP5P,AP6N,AP6P,AP7N,AP7P,AP8N,AP8P,AP9N,AP9P,AP10N,AP10P,AP11N,AP11P
1690803,20200307,NaN,1,G,48,F,5,D,14,M,31,M,32,D,27,M,4,F,20,D,3,D,7,F,NaN,1,G,19,D,4,D,9,F,27,D,29,M,8,M,10,M,5,D,15,M,33,F
1690807,20200307,NaN,27,G,26,D,19,F,14,M,13,D,45,D,43,D,20,F,23,M,7,M,5,M,NaN,1,G,5,M,11,F,3,D,49,F,6,M,22,D,33,D,8,M,24,D,25,M
1710092,20200308,NaN,33,G,27,F,28,M,15,M,44,M,20,M,4,D,37,D,3,D,7,M,6,D,NaN,1,G,29,M,14,F,31,D,45,F,6,D,10,M,5,D,41,M,8,M,20,D
1710097,20200308,NaN,31,G,14,D,7,M,8,M,33,D,39,D,20,M,9,F,37,M,4,M,11,M,NaN,39,G,11,F,10,F,5,D,16,M,14,F,22,M,7,M,30,F,6,M,20,M
1710103,20200308,NaN,22,G,7,M,32,M,8,M,27,F,18,F,4,M,3,D,11,F,5,D,29,D,NaN,1,G,3,D,34,D,44,F,25,F,10,F,23,D,4,D,15,M,2,M,16,F
1710108,20200308,NaN,1,G,9,F,18,M,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D
1710113,20200308,NaN,17,G,4,D,28,M,7,M,27,M,50,D,10,M,13,D,14,F,20,D,19,F,NaN,1,G,11,F,6,M,8,M,10,M,41,M,5,M,2,D,19,M,4,D,13,D
1710118,20200308,NaN,25,G,38,D,6,D,5,D,23,M,4,D,18,M,2,M,8,D,13,F,16,M,NaN,21,G,27,D,8,M,37,F,5,D,9,F,17,F,18,M,33,D,13,D,15,D
1710124,20200308,NaN,44,G,9,F,26,D,28,M,6,M,19,D,7,M,5,D,16,F,14,M,15,F,NaN,18,G,2,M,15,D,33,F,41,M,30,M,16,F,28,M,4,M,6,D,22,F
1942689,20200313,NaN,18,G,2,M,15,D,33,F,41,M,30,M,16,F,28,M,4,M,6,D,22,F,NaN,22,G,7,M,32,M,8,M,27,F,18,F,4,M,3,D,11,F,5,D,29,D
1943721,20200314,NaN,27,G,26,D,19,F,14,M,13,D,45,D,43,D,20,F,23,M,7,M,5,M,NaN,1,G,48,F,5,D,14,M,31,M,32,D,27,M,4,F,20,D,3,D,7,F
1943722,20200314,NaN,1,G,3,D,34,D,44,F,25,F,10,F,23,D,4,D,15,M,2,M,16,F,NaN,31,G,14,D,7,M,8,M,33,D,39,D,20,M,9,F,37,M,4,M,11,M
1943723,20200314,NaN,1,G,29,M,14,F,31,D,45,F,6,D,10,M,5,D,41,M,8,M,20,D,NaN,17,G,4,D,28,M,7,M,27,M,50,D,10,M,13,D,14,F,20,D,19,F
1943724,20200314,NaN,21,G,27,D,8,M,37,F,5,D,9,F,17,F,18,M,33,D,13,D,15,D,NaN,1,G,11,F,6,M,8,M,10,M,41,M,5,M,2,D,19,M,4,D,13,D
1943725,20200314,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D,NaN,33,G,27,F,28,M,15,M,44,M,20,M,4,D,37,D,3,D,7,M,6,D
1943726,20200314,NaN,1,G,19,D,4,D,9,F,27,D,29,M,8,M,10,M,5,D,15,M,33,F,NaN,1,G,9,F,18,M,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M
1943727,20200314,NaN,1,G,5,M,11,F,3,D,49,F,6,M,22,D,33,D,8,M,24,D,25,M,NaN,25,G,38,D,6,D,5,D,23,M,4,D,18,M,2,M,8,D,13,F,16,M
1943728,20200314,NaN,39,G,11,F,10,F,5,D,16,M,14,F,22,M,7,M,30,F,6,M,20,M,NaN,44,G,9,F,26,D,28,M,6,M,19,D,7,M,5,D,16,F,14,M,15,F
2776405,20200318,NaN,33,G,27,F,28,M,15,M,44,M,20,M,4,D,37,D,3,D,7,M,6,D,NaN,1,G,9,F,18,M,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M
2776406,20200318,NaN,31,G,14,D,7,M,8,M,33,D,39,D,20,M,9,F,37,M,4,M,11,M,NaN,18,G,2,M,15,D,33,F,41,M,30,M,16,F,28,M,4,M,6,D,22,F
2776407,20200318,NaN,1,G,11,F,6,M,8,M,10,M,41,M,5,M,2,D,19,M,4,D,13,D,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D
2776408,20200318,NaN,22,G,7,M,32,M,8,M,27,F,18,F,4,M,3,D,11,F,5,D,29,D,NaN,1,G,19,D,4,D,9,F,27,D,29,M,8,M,10,M,5,D,15,M,33,F
2776409,20200318,NaN,39,G,11,F,10,F,5,D,16,M,14,F,22,M,7,M,30,F,6,M,20,M,NaN,21,G,27,D,8,M,37,F,5,D,9,F,17,F,18,M,33,D,13,D,15,D
2776410,20200318,NaN,25,G,38,D,6,D,5,D,23,M,4,D,18,M,2,M,8,D,13,F,16,M,NaN,1,G,48,F,5,D,14,M,31,M,32,D,27,M,4,F,20,D,3,D,7,F
2776411,20200318,NaN,1,G,5,M,11,F,3,D,49,F,6,M,22,D,33,D,8,M,24,D,25,M,NaN,17,G,4,D,28,M,7,M,27,M,50,D,10,M,13,D,14,F,20,D,19,F
2776412,20200318,NaN,1,G,29,M,14,F,31,D,45,F,6,D,10,M,5,D,41,M,8,M,20,D,NaN,27,G,26,D,19,F,14,M,13,D,45,D,43,D,20,F,23,M,7,M,5,M
2776413,20200318,NaN,44,G,9,F,26,D,28,M,6,M,19,D,7,M,5,D,16,F,14,M,15,F,NaN,1,G,3,D,34,D,44,F,25,F,10,F,23,D,4,D,15,M,2,M,16,F
3053305,20200322,NaN,1,G,48,F,5,D,14,M,31,M,32,D,27,M,4,F,20,D,3,D,7,F,NaN,1,G,5,M,11,F,3,D,49,F,6,M,22,D,33,D,8,M,24,D,25,M
3053309,20200322,NaN,27,G,26,D,19,F,14,M,13,D,45,D,43,D,20,F,23,M,7,M,5,M,NaN,22,G,7,M,32,M,8,M,27,F,18,F,4,M,3,D,11,F,5,D,29,D
3053313,20200322,NaN,31,G,14,D,7,M,8,M,33,D,39,D,20,M,9,F,37,M,4,M,11,M,NaN,25,G,38,D,6,D,5,D,23,M,4,D,18,M,2,M,8,D,13,F,16,M
3053317,20200322,NaN,1,G,3,D,34,D,44,F,25,F,10,F,23,D,4,D,15,M,2,M,16,F,NaN,1,G,29,M,14,F,31,D,45,F,6,D,10,M,5,D,41,M,8,M,20,D
3053321,20200322,NaN,18,G,2,M,15,D,33,F,41,M,30,M,16,F,28,M,4,M,6,D,22,F,NaN,1,G,19,D,4,D,9,F,27,D,29,M,8,M,10,M,5,D,15,M,33,F
3053325,20200322,NaN,1,G,9,F,18,M,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,21,G,27,D,8,M,37,F,5,D,9,F,17,F,18,M,33,D,13,D,15,D
3053329,20200322,NaN,21,G,25,M,15,D,6,M,17,M,20,F,8,F,2,D,16,D,22,D,3,D,NaN,39,G,10,F,2,D,16,M,23,F,14,F,22,M,18,D,7,M,17,M,20,M
