player_id,position,birthday,country,weight,height,foot,sta_Num_leagues,sta_Num_team
100,G,1987-07-31,Mexico,91,182,right,3,6
100218,F,NaN,NaN,NaN,NaN,NaN,4,4
100219,D,NaN,NaN,NaN,NaN,NaN,1,4
100220,M,NaN,NaN,NaN,NaN,NaN,4,3
100221,M,NaN,NaN,NaN,NaN,NaN,5,2
100224,G,NaN,NaN,NaN,NaN,NaN,2,2
100226,M,NaN,NaN,NaN,NaN,NaN,1,2
100257,D,NaN,NaN,NaN,NaN,NaN,1,2
100259,M,NaN,NaN,NaN,NaN,NaN,1,4
100266,M,NaN,NaN,NaN,NaN,NaN,3,5
10028,D,1997-04-01,Brazil,68,175,,4,3
10029,F,1992-06-23,Brazil,77,185,right,4,5
10030,M,1998-02-07,Brazil,73,175,left,2,3
100306,M,NaN,NaN,NaN,NaN,NaN,1,5
10031,F,1999-05-30,Brazil,0,177,,3,1
10032,D,1991-04-16,Brazil,86,185,right,4,2
100327,F,NaN,NaN,NaN,NaN,NaN,3,4
100328,F,NaN,NaN,NaN,NaN,NaN,3,6
10033,M,1985-05-29,Brazil,76,180,both,4,9
100330,M,NaN,NaN,NaN,NaN,NaN,4,6
100358,F,NaN,NaN,NaN,NaN,NaN,1,4
10036,F,2000-04-13,Serbia,80,190,right,5,7
100365,M,NaN,NaN,NaN,NaN,NaN,1,2
10057,G,1993-06-22,Germany,90,189,right,4,8
10059,D,1989-01-25,Spain,95,185,left,5,9
10062,M,1992-07-11,Egypt,74,181,right,10,8
100693,F,NaN,NaN,NaN,NaN,NaN,4,9
10079,D,1994-05-13,Netherlands,75,194,left,3,4
10080,D,1999-09-27,Germany,0,180,right,4,4
10084,G,1996-11-13,Germany,84,187,right,4,7
101,M,1999-06-13,Mexico,52,172,left,4,4
101002,,NaN,NaN,NaN,NaN,NaN,NaN,3
101170,F,NaN,NaN,NaN,NaN,NaN,2,3
101898,G,NaN,NaN,NaN,NaN,NaN,3,9
101905,D,NaN,NaN,NaN,NaN,NaN,3,5
101953,D,NaN,NaN,NaN,NaN,NaN,3,5
101956,M,NaN,NaN,NaN,NaN,NaN,1,4
102,M,1995-08-28,Uruguay,63,172,right,4,3
102010,M,NaN,NaN,NaN,NaN,NaN,1,5
10208,F,1994-04-07,Croatia,80,188,left,3,8
102092,M,NaN,NaN,NaN,NaN,NaN,1,4
102093,M,NaN,NaN,NaN,NaN,NaN,1,5
102095,G,NaN,NaN,NaN,NaN,NaN,1,4
10217,D,1994-05-06,Hungary,84,188,right,7,7
102174,D,NaN,NaN,NaN,NaN,NaN,2,3
102229,F,NaN,NaN,NaN,NaN,NaN,2,9
10225,M,1999-01-24,France,65,187,left,4,2
10226,D,2000-04-11,France,0,191,,2,2
102306,D,NaN,NaN,NaN,NaN,NaN,NaN,5
102374,G,NaN,NaN,NaN,NaN,NaN,NaN,6
102381,D,NaN,NaN,NaN,NaN,NaN,1,3
102464,F,NaN,NaN,NaN,NaN,NaN,1,3
102499,D,NaN,NaN,NaN,NaN,NaN,1,4
102517,D,NaN,NaN,NaN,NaN,NaN,NaN,3
102621,F,NaN,NaN,NaN,NaN,NaN,1,6
102861,D,NaN,NaN,NaN,NaN,NaN,5,11
102862,F,NaN,NaN,NaN,NaN,NaN,5,9
102863,F,NaN,NaN,NaN,NaN,NaN,NaN,3
102864,G,NaN,NaN,NaN,NaN,NaN,NaN,2
102865,M,NaN,NaN,NaN,NaN,NaN,3,3
102888,D,NaN,NaN,NaN,NaN,NaN,3,2
102889,M,NaN,NaN,NaN,NaN,NaN,3,5
102890,D,NaN,NaN,NaN,NaN,NaN,1,4
102891,D,NaN,NaN,NaN,NaN,NaN,1,2
102892,M,NaN,NaN,NaN,NaN,NaN,3,3
102893,D,NaN,NaN,NaN,NaN,NaN,NaN,2
102894,F,NaN,NaN,NaN,NaN,NaN,3,2
102895,M,NaN,NaN,NaN,NaN,NaN,NaN,1
102896,M,NaN,NaN,NaN,NaN,NaN,NaN,1
102897,M,NaN,NaN,NaN,NaN,NaN,2,1
102898,M,NaN,NaN,NaN,NaN,NaN,1,1
102914,D,NaN,NaN,NaN,NaN,NaN,5,4
102915,D,NaN,NaN,NaN,NaN,NaN,10,11
102916,M,NaN,NaN,NaN,NaN,NaN,6,6
102917,F,NaN,NaN,NaN,NaN,NaN,1,5
102918,M,NaN,NaN,NaN,NaN,NaN,NaN,2
102919,M,NaN,NaN,NaN,NaN,NaN,NaN,1
102920,M,NaN,NaN,NaN,NaN,NaN,1,2
102921,M,NaN,NaN,NaN,NaN,NaN,NaN,1
102922,M,NaN,NaN,NaN,NaN,NaN,NaN,1
102923,D,NaN,NaN,NaN,NaN,NaN,1,1
10295,D,1999-03-11,France,0,185,left,3,3
102966,F,NaN,NaN,NaN,NaN,NaN,7,12
102967,M,NaN,NaN,NaN,NaN,NaN,5,3
102968,D,NaN,NaN,NaN,NaN,NaN,2,3
102969,F,NaN,NaN,NaN,NaN,NaN,NaN,1
102970,F,NaN,NaN,NaN,NaN,NaN,2,1
102971,F,NaN,NaN,NaN,NaN,NaN,1,1
102972,M,NaN,NaN,NaN,NaN,NaN,1,1
102973,F,NaN,NaN,NaN,NaN,NaN,NaN,2
103,D,1999-03-10,Mexico,85,184,right,1,3
10301,G,1993-11-19,Moldova,90,200,right,4,10
10302,D,1997-08-23,Greece,0,180,right,4,4
10303,D,1994-05-17,Slovakia,85,191,right,3,11
10304,D,1995-03-01,Netherlands,68,185,right,2,6
10305,D,1998-01-14,England,0,0,left,3,4
10306,D,1998-05-29,Germany,74,170,right,8,11
10307,M,1997-06-04,Sweden,65,175,right,3,7
10308,M,1995-03-25,Netherlands,0,174,,2,2
10309,M,1993-10-11,Netherlands,70,175,right,3,6
10310,M,1999-09-07,Senegal,0,186,right,3,4
10311,F,1999-01-24,Moldova,69,180,right,6,12
10314,D,1997-01-21,Netherlands,0,182,right,2,2
10315,F,2000-05-18,Denmark,0,179,left,6,7
10316,D,1994-01-22,Switzerland,79,188,right,3,12
10318,F,1996-04-04,Finland,81,186,right,6,7
10321,D,1995-05-10,France,81,188,left,4,4
10322,M,1996-01-29,Netherlands,70,177,left,2,3
10323,G,1994-04-10,Germany,78,188,right,3,8
10324,D,1992-08-05,Luxembourg,73,178,right,10,9
10327,D,1994-08-05,Nigeria,73,178,left,4,10
10331,M,1997-10-04,Greece,75,175,right,3,4
10332,M,1994-02-07,Germany,72,171,right,3,3
10335,M,1994-10-15,Germany,70,170,both,4,9
10336,F,1990-07-15,Germany,75,178,left,3,4
10338,D,1996-06-25,Tunisia,74,178,right,6,7
10339,M,1996-11-28,Germany,80,186,both,5,7
10341,G,1993-05-12,Germany,90,192,left,4,7
10342,D,1995-05-25,Netherlands,78,189,right,4,2
10343,D,1999-03-22,Belgium,81,190,right,5,7
10344,D,1990-08-19,Germany,87,190,right,6,8
10345,M,1995-05-10,Tunisia,69,185,right,5,3
10346,M,1990-05-27,Germany,75,185,left,7,3
10347,M,1992-10-24,Austria,71,176,right,5,7
10348,M,1997-11-01,Albania,73,182,left,4,4
10349,D,1999-08-17,Germany,77,184,both,3,4
10350,F,1993-05-11,Colombia,85,188,right,3,10
10351,G,2000-01-22,Germany,83,194,right,1,5
10352,M,1989-09-16,Germany,83,182,right,3,4
10354,F,2002-05-26,Germany,66,178,right,3,3
10355,F,1988-04-14,France,84,187,right,3,11
10358,D,1997-04-17,Spain,77,182,right,5,5
10359,M,1990-05-26,Germany,71,183,right,3,8
10372,D,2000-04-06,France,89,192,right,3,3
10374,D,1998-02-01,France,0,172,left,3,3
10378,D,1997-02-09,France,64,177,left,3,2
10398,G,1998-09-06,France,81,182,left,NaN,2
104,M,1997-01-09,Mexico,0,179,,3,1
10415,F,1997-12-04,Senegal,0,186,right,4,3
10437,M,1996-07-07,France,0,0,,3,2
10446,G,1994-05-12,France,86,191,right,3,4
10460,D,1996-01-30,Poland,79,187,left,5,9
10472,D,1995-09-09,Poland,80,191,right,3,3
10479,G,1994-04-25,France,79,186,right,4,6
10480,D,1997-01-24,Portugal,77,178,left,5,9
10481,F,1992-08-25,England,72,178,right,3,5
10482,M,1985-07-09,England,80,178,right,3,7
10483,D,1997-01-10,England,64,193,right,6,5
10484,M,1997-08-07,England,64,185,right,4,3
10485,D,1994-02-02,Portugal,84,188,right,4,10
10487,D,1992-02-08,England,77,185,right,7,10
10488,F,1996-10-07,England,63,179,right,5,8
10489,D,1983-11-18,England,79,188,right,3,5
10490,M,1992-03-12,Czech Republic,69,177,both,4,12
10494,D,1999-11-28,England,0,0,,2,3
10499,F,1998-07-31,Ireland,79,180,,3,10
105,F,1986-08-26,Turkey,95,185,right,4,19
10523,D,1992-01-31,NaN,65,177,right,7,3
10524,D,1996-09-17,Croatia,89,192,right,9,9
10525,D,1994-03-09,France,70,176,left,5,7
10526,D,1999-11-23,France,0,182,right,7,5
10527,M,1994-08-18,France,73,180,right,5,5
10528,F,1990-04-17,France,73,180,right,5,5
10529,G,1982-11-04,France,89,196,right,3,4
10530,D,1998-11-19,France,0,187,right,1,1
10531,M,1999-04-11,NaN,0,0,,NaN,3
10532,F,1998-04-07,France,0,0,right,3,1
10533,M,1995-04-27,Tunisia,76,180,left,4,5
10534,G,1986-12-08,France,82,182,right,2,5
10536,D,1997-08-11,Ghana,0,190,both,4,4
10537,D,1985-06-20,Cameroon,77,184,right,7,11
10538,D,1991-07-31,Norway,73,181,left,8,6
10539,M,1991-02-10,France,83,184,right,3,3
10542,F,1991-06-21,NaN,65,173,left,2,18
10543,F,1995-10-18,NaN,60,175,,7,7
10544,F,1993-04-03,Senegal,78,180,right,6,8
10545,G,1989-03-20,France,81,188,right,2,7
10547,D,1996-03-17,Italy,76,186,right,6,11
10548,M,1992-10-09,South Africa,76,184,right,6,6
10549,F,1993-09-06,Iran,75,177,right,8,8
10551,F,1996-03-08,Belgium,77,188,right,7,7
10554,D,1993-04-23,Spain,70,170,right,3,4
10555,M,1993-08-12,Spain,72,186,right,3,5
10556,D,1989-11-26,Spain,84,187,right,2,10
10557,D,1992-01-05,Uruguay,73,170,left,2,2
10558,M,1995-02-09,France,78,188,left,5,3
10560,M,1995-02-10,Spain,77,186,right,3,9
10561,M,1992-10-15,Spain,74,183,right,3,9
10562,F,1990-05-16,Spain,66,174,right,3,7
10563,F,1993-04-25,Honduras,75,183,right,6,10
10564,G,1994-01-11,Spain,80,186,right,3,5
10565,D,1997-05-14,Spain,0,0,,3,2
10566,F,1992-11-18,Serbia,73,183,right,3,10
10568,F,1991-03-30,Spain,64,170,right,3,3
10569,D,1991-01-09,Argentina,79,187,right,3,4
10599,G,1989-04-22,Netherlands,83,185,right,6,6
106,M,1984-01-01,Argentina,74,174,left,3,8
10600,M,1989-05-31,Denmark,74,181,right,7,10
10601,D,1990-11-26,Brazil,72,185,right,5,5
10602,D,1996-12-19,France,78,189,right,5,5
10603,D,1995-05-25,Spain,62,169,left,7,6
10604,M,2000-02-29,Spain,77,184,right,10,8
10605,M,1989-04-16,Spain,73,180,right,6,8
10606,M,1993-02-15,France,80,190,left,5,13
10607,M,1997-01-02,Spain,72,183,right,7,4
10608,F,1987-05-09,France,70,173,right,6,8
10609,F,1996-08-14,Uruguay,89,186,right,6,4
10610,G,1990-11-05,Spain,73,185,right,4,4
10611,D,2000-01-31,Spain,0,178,,3,5
10612,F,1992-06-01,Spain,73,182,right,3,8
10613,M,2001-02-19,Republic of Korea,0,173,left,6,5
10614,D,1991-03-11,Italy,67,173,right,10,6
10615,M,1990-12-26,Russia,74,179,left,8,11
10616,M,1996-11-29,Portugal,69,180,right,8,11
10623,D,1998-08-27,Canada,0,195,right,1,3
10644,D,1989-11-04,Brazil,84,191,right,3,6
10645,F,1986-10-01,Portugal,79,188,right,2,14
10717,G,1992-07-29,Mexico,78,179,,3,1
10718,M,1993-07-17,Mexico,70,176,right,3,2
10719,D,1990-10-23,Argentina,80,184,right,3,7
10720,D,1993-02-04,Paraguay,78,183,,6,3
10721,D,1994-12-22,Mexico,72,173,left,3,5
10722,F,1995-04-08,Colombia,63,177,right,5,5
10723,M,1993-02-14,Ecuador,74,176,right,6,6
10724,M,2000-10-26,Mexico,0,0,,3,2
10725,M,1995-02-11,Ghana,57,163,right,3,8
10726,F,1987-10-15,Argentina,83,190,left,4,13
10727,F,1992-06-17,Colombia,77,172,both,3,8
10728,G,1985-09-05,Mexico,72,182,right,1,4
10729,D,1997-09-13,Ecuador,0,0,,2,2
10730,D,1986-07-07,Mexico,78,184,right,3,5
10731,F,1988-12-31,Argentina,84,182,right,4,10
10732,M,1993-02-14,Mexico,79,169,,5,4
10733,F,1997-08-06,Mexico,77,186,,3,3
10734,M,1996-06-30,Mexico,70,172,left,3,2
10735,D,1998-02-02,Mexico,66,174,right,3,6
10736,D,1985-07-29,Argentina,80,185,right,5,6
10737,D,1996-05-09,Ecuador,70,179,left,4,7
10757,D,1994-02-18,Argentina,80,186,right,4,6
10758,D,2001-05-09,Mexico,80,180,,3,1
10759,F,2002-08-18,Mexico,0,0,,2,1
10760,M,1997-04-10,Mexico,66,172,left,6,1
10761,G,1984-04-06,Uruguay,86,184,left,3,2
10762,M,1992-07-07,Mexico,68,174,right,3,2
10763,D,1991-09-16,Uruguay,77,185,right,4,5
10764,D,1985-10-08,Mexico,72,181,left,3,8
10765,M,1998-05-04,Mexico,71,175,left,3,3
10766,M,1993-08-20,Mexico,73,183,right,3,7
10767,F,1993-02-11,Colombia,60,166,left,3,4
10768,G,1993-05-21,Mexico,85,182,,3,1
10769,D,2000-02-15,Uruguay,70,177,left,4,3
10770,D,1989-03-22,Mexico,65,183,right,3,9
10771,F,1988-04-02,Argentina,80,185,right,4,9
10772,D,1987-03-31,Mexico,82,188,right,5,3
10773,G,1995-04-13,Mexico,74,193,,1,1
10774,D,1997-02-04,Mexico,0,0,,1,1
10775,F,1989-11-20,Chile,70,174,right,8,11
10777,M,2000-05-20,Russia,75,174,right,NaN,4
107812,F,NaN,NaN,NaN,NaN,NaN,NaN,3
107822,,NaN,NaN,NaN,NaN,NaN,1,2
10785,G,1994-06-27,Republic of Korea,82,195,,4,6
10786,F,1982-05-05,England,89,190,right,2,14
10787,D,1992-12-16,Japan,75,183,left,2,2
107870,M,NaN,NaN,NaN,NaN,NaN,1,5
107871,D,NaN,NaN,NaN,NaN,NaN,1,5
10788,F,1994-02-11,Japan,74,185,right,4,9
10789,M,1993-04-20,Japan,72,180,right,2,2
107898,D,NaN,NaN,NaN,NaN,NaN,NaN,6
10790,M,1993-10-05,Thailand,56,158,both,4,7
10791,M,1989-06-28,Japan,72,182,right,2,1
10792,M,1994-05-01,Japan,63,165,right,2,3
107922,D,NaN,NaN,NaN,NaN,NaN,3,4
10793,F,1998-09-10,Japan,69,171,left,2,2
107930,F,NaN,NaN,NaN,NaN,NaN,NaN,5
107936,D,NaN,NaN,NaN,NaN,NaN,1,3
10794,D,1993-11-26,Republic of Korea,78,187,,3,3
107941,G,NaN,NaN,NaN,NaN,NaN,2,4
107942,M,NaN,NaN,NaN,NaN,NaN,1,6
10795,D,1996-06-07,Japan,74,183,,2,2
10796,G,1984-05-03,Japan,75,179,right,2,5
10797,M,1992-06-06,Japan,64,168,right,2,4
107975,M,NaN,NaN,NaN,NaN,NaN,2,3
107979,G,NaN,NaN,NaN,NaN,NaN,NaN,3
10798,M,1997-07-30,Japan,68,178,,2,3
10799,M,1997-12-29,Japan,74,177,,2,1
10800,D,1997-05-26,Japan,68,183,,1,1
10801,F,1993-09-15,Brazil,78,185,left,2,5
10802,F,1994-04-24,Brazil,65,174,right,2,8
10803,G,1991-08-31,Poland,82,190,right,2,8
10805,F,1995-04-19,Japan,75,182,,2,1
10806,D,1986-05-23,Japan,72,183,right,2,3
10807,M,1994-11-08,Japan,75,182,right,2,6
10808,D,1990-07-20,Japan,76,180,both,2,1
10809,M,1988-07-23,NaN,78,180,right,2,6
10810,F,1991-09-01,Japan,70,174,right,2,7
10811,M,1998-03-30,Japan,59,166,,2,5
108114,G,NaN,NaN,NaN,NaN,NaN,2,10
10812,M,1994-03-03,Japan,67,174,left,2,2
10813,D,1997-08-05,Japan,80,185,,2,4
10814,G,1986-03-09,Japan,78,178,right,1,3
10815,D,1988-05-17,Republic of Korea,74,183,right,2,3
10816,M,1992-11-17,Japan,67,172,right,2,3
10817,M,2000-09-23,Japan,59,169,,2,1
10818,M,1985-12-26,Japan,66,171,right,2,5
10819,D,1995-08-23,Brazil,70,167,left,1,6
10820,M,1997-06-20,Japan,70,178,,2,1
10832,D,1995-01-31,NaN,72,176,left,4,9
10834,M,1998-11-02,Australia,72,178,left,2,9
10835,F,1997-06-04,Australia,74,189,right,2,5
10864,F,1998-09-29,Serbia,0,189,right,3,7
10873,F,1985-08-20,Spain,85,186,left,4,13
10905,G,1993-11-22,NaN,71,187,right,4,3
10906,M,1996-04-14,France,68,172,left,3,3
1091,F,2000-02-02,Romania,60,177,,3,4
10916,D,1997-04-15,NaN,85,192,both,4,5
10924,M,2000-02-14,France,0,0,,2,4
10934,F,1994-12-09,Greece,86,186,right,7,8
10937,G,1999-02-21,England,75,188,,NaN,2
10938,M,1986-10-19,Ireland,75,183,left,3,7
10940,F,1993-10-16,Spain,0,0,left,3,3
10941,G,1986-02-10,Spain,94,192,right,4,15
10943,D,1997-01-09,Spain,73,186,left,2,6
10944,M,1991-05-13,France,74,178,right,5,9
10945,D,1988-03-18,Spain,62,171,left,4,5
10946,F,1991-03-06,Spain,70,182,left,9,11
10947,M,1990-02-13,Netherlands,78,186,left,8,7
10948,F,1993-01-26,France,76,180,left,5,13
10949,D,1990-04-12,Japan,70,183,right,7,7
10950,F,1996-03-12,France,82,187,right,6,9
10951,M,1987-12-06,Spain,75,181,right,3,6
10952,D,1993-03-12,NaN,70,178,right,3,6
10953,F,1994-08-29,Spain,80,180,right,3,3
10986,D,1998-06-17,Brazil,81,189,right,1,2
11051,G,1987-04-10,Russia,90,193,right,2,11
11052,D,1990-06-27,Russia,77,180,left,3,9
11053,M,1993-07-26,Russia,89,183,right,3,2
11054,M,1993-10-11,Croatia,72,182,right,3,11
110540,,NaN,NaN,NaN,NaN,NaN,2,2
11055,G,1988-08-27,Belarus,90,195,right,5,10
11056,D,1992-08-16,Israel,78,187,right,2,4
11057,M,1993-08-26,Russia,65,177,right,3,5
11058,D,1991-01-09,Russia,76,188,both,3,9
11061,M,1997-01-19,Russia,0,177,left,3,3
11063,D,1995-04-09,Germany,76,183,right,5,7
11064,D,1991-09-30,Russia,83,188,right,3,11
11066,D,1987-01-22,Russia,68,179,right,2,8
11067,M,1992-05-05,Serbia,74,179,right,5,9
11068,D,1989-08-05,Georgia,85,190,left,4,13
11069,G,1991-05-17,Russia,87,194,right,2,11
11071,F,1997-12-24,Russia,0,178,right,3,2
11073,M,1999-04-04,Zambia,64,165,,2,1
11074,D,1986-09-23,Russia,77,179,right,2,13
11075,D,1989-02-23,Russia,83,186,left,2,10
11076,F,1995-02-27,Russia,80,185,right,2,3
11077,M,1996-08-15,Russia,75,176,left,4,7
11078,M,1993-01-27,Belarus,0,174,right,5,6
11090,D,1998-11-19,Venezuela,76,188,right,2,8
11091,M,2000-05-30,Portugal,0,170,left,6,5
110928,G,NaN,NaN,NaN,NaN,NaN,1,5
110958,D,NaN,NaN,NaN,NaN,NaN,1,6
11096,G,2001-05-18,Portugal,60,184,right,1,4
110986,D,NaN,NaN,NaN,NaN,NaN,2,9
110987,M,NaN,NaN,NaN,NaN,NaN,1,2
110988,F,NaN,NaN,NaN,NaN,NaN,2,7
110989,D,NaN,NaN,NaN,NaN,NaN,2,4
110990,D,NaN,NaN,NaN,NaN,NaN,NaN,3
110991,F,NaN,NaN,NaN,NaN,NaN,1,3
110992,D,NaN,NaN,NaN,NaN,NaN,1,2
110993,D,NaN,NaN,NaN,NaN,NaN,1,1
110994,M,NaN,NaN,NaN,NaN,NaN,1,1
110995,D,NaN,NaN,NaN,NaN,NaN,1,1
110996,G,NaN,NaN,NaN,NaN,NaN,1,2
110997,F,NaN,NaN,NaN,NaN,NaN,2,3
110998,D,NaN,NaN,NaN,NaN,NaN,1,2
110999,F,NaN,NaN,NaN,NaN,NaN,1,2
111000,F,NaN,NaN,NaN,NaN,NaN,2,4
111001,F,NaN,NaN,NaN,NaN,NaN,NaN,2
