match_id,team_id,fouls,injuries,corners,offsides,shots_total,shots_on_target,shots_off_target,shots_blocked,possessionpercent,yellowcards,yellowredcards,redcards,substitutions,goal_kick,goal_attempts,free_kick,throw_in,ball_safe,goals,penalties,attacks,dangerous_attacks
25230,1035,10,1,7,2,11,3,3,5,52,1,0,0,3,6,6,10,25,0,2,0/1,0,0
25230,1052,9,0,5,1,9,4,2,3,48,0,0,0,3,7,6,12,20,0,3,0/0,0,0
25231,1047,20,0,5,1,8,3,2,3,45,1,0,0,2,16,5,7,24,0,1,0/0,0,0
25231,1040,7,1,7,0,18,3,8,7,55,1,0,0,1,4,11,21,30,0,1,0/0,0,0
25232,1038,8,2,7,2,22,11,8,3,51,1,0,0,3,15,19,8,17,0,4,0/0,0,0
25232,1049,8,0,7,0,19,7,7,5,49,0,0,0,3,11,14,10,28,0,2,0/0,0,0
25233,1050,6,0,8,2,19,4,9,6,54,0,0,0,3,7,13,11,19,0,0,0/0,0,0
25233,1046,10,1,6,1,5,1,3,1,46,2,0,0,3,17,4,8,13,0,0,0/0,0,0
25234,1045,5,NaN,6,0,9,3,5,1,45,0,0,0,3,10,8,15,16,0,1,0/0,0,0
25234,1044,13,NaN,12,2,14,2,9,3,55,0,0,0,3,7,11,5,17,0,0,0/0,0,0
1335802,1041,7,NaN,8,0,17,7,4,6,58,0,0,0,3,0,11,9,21,0,1,0/0,0,0
1335802,2212,8,NaN,0,1,3,2,0,1,42,1,0,0,3,9,2,7,23,0,1,0/0,0,0
25235,1048,7,0,5,4,20,4,12,4,58,0,0,0,3,4,16,12,43,0,1,0/0,0,0
25235,1037,9,1,6,3,9,6,3,0,42,0,0,0,3,15,9,11,20,0,2,0/0,0,0
25236,1043,10,NaN,5,0,13,4,5,4,51,0,0,0,3,9,9,10,23,0,1,0/0,0,0
25236,1039,9,NaN,6,1,11,6,4,1,49,1,0,0,3,12,10,10,25,0,3,2/2,0,0
25238,1051,6,1,7,1,8,5,3,0,48,0,0,0,3,12,8,9,19,0,3,0/0,0,0
25238,1053,8,0,10,1,12,2,7,3,52,3,0,0,3,6,9,7,37,0,0,0/0,0,0
42308608,1037,10,NaN,6,1,7,5,2,NaN,44,0,0,0,5,8,7,9,11,0,1,1/1,0,0
42308608,1045,7,NaN,3,2,8,5,3,NaN,56,1,0,0,4,8,8,11,14,0,2,0/0,0,0
42308613,1043,16,1,9,1,10,4,2,4,51,3,0,0,4,12,6,6,27,0,1,0/0,0,0
42308613,1040,5,1,4,1,12,4,5,3,49,1,1,0,4,8,9,17,11,0,2,0/0,0,0
42308617,2212,12,NaN,4,2,11,3,6,2,55,1,0,0,5,8,9,10,21,0,1,0/0,0,0
42308617,1049,9,NaN,5,1,9,3,4,2,45,0,0,0,5,12,7,14,14,0,2,0/0,0,0
42308621,1044,8,1,2,0,7,5,2,NaN,48,0,0,0,4,9,7,8,13,0,2,0/0,0,0
42308621,1046,7,0,6,1,8,3,5,NaN,52,0,0,0,5,7,8,8,18,0,0,0/0,0,0
42308626,1038,12,1,2,2,10,1,6,3,52,2,1,0,3,4,7,17,30,0,0,0/0,0,0
