continent,country,league,season,team_name,type,player_id,name,reason,since,expected_return
Asia,Japan,J1 League,2020,Cerezo Osaka,injuries,44943,"Takagi, Toshiyuki",Herniated Disc,2020-03-04,?
Asia,Japan,J1 League,2020,Cerezo Osaka,injuries,44949,"Nagaishi, Takumi",Fatigue fracture,2020-05-21,?
Asia,Japan,J1 League,2020,Cerezo Osaka,injuries,14989,"Nishikawa, Jun",Torn Muscle Fibre,2020-07-03,?
Asia,Japan,J1 League,2020,Cerezo Osaka,injuries,44953,"Yamauchi, Hirofumi",Medial Collateral Ligament Tear,2020-07-12,?
Asia,Japan,J1 League,2020,Cerezo Osaka,injuries,44945,"Akiyama, Daichi",Fatigue fracture,2020-01-27,?
Asia,Japan,J1 League,2020,Kawasaki Frontale,injuries,45021,"Fujishima, Eisuke",Cruciate Ligament Surgery,2019-07-09,?
Asia,Japan,J1 League,2020,Kawasaki Frontale,injuries,15037,"Hasegawa, Tatsuya",Medial Collateral Ligament Tear,2020-07-23,?
Asia,Japan,J1 League,2020,Kawasaki Frontale,injuries,45018,"Nakamura, Kengo",Fitness,2020-07-28,?
Asia,Japan,J1 League,2020,Sanfrecce Hiroshima,injuries,1297,"Kashiwa, Yoshifumi",Biceps femoris muscle injury,2020-07-05,?
Asia,Japan,J1 League,2020,Shonan Bellmare,injuries,44775,"Ohashi, Yuki",Acromioclavicular Separation,2020-03-07,?
Asia,Japan,J1 League,2020,Shonan Bellmare,injuries,15008,"Umesaki, Tsukasa",Torn Meniscus,2020-06-05,?
Asia,Japan,J1 League,2020,Yokohama F Marinos,injuries,1224,"Park, Il-kyu",Hand fracture,2020-06-15,?
Asia,Japan,J1 League,2020,Yokohama F Marinos,injuries,73307,"Saneto, Yuki",Hamstring Injury,2020-07-05,?
Asia,Japan,J1 League,2019,Cerezo Osaka,injuries,44943,"Takagi, Toshiyuki",Herniated Disc,2020-03-04,?
Asia,Japan,J1 League,2019,Cerezo Osaka,injuries,44949,"Nagaishi, Takumi",Fatigue fracture,2020-05-21,?
Asia,Japan,J1 League,2019,Cerezo Osaka,injuries,14989,"Nishikawa, Jun",Torn Muscle Fibre,2020-07-03,?
Asia,Japan,J1 League,2019,Cerezo Osaka,injuries,44953,"Yamauchi, Hirofumi",Medial Collateral Ligament Tear,2020-07-12,?
Asia,Japan,J1 League,2019,Cerezo Osaka,injuries,44945,"Akiyama, Daichi",Fatigue fracture,2020-01-27,?
Asia,Japan,J1 League,2019,Kawasaki Frontale,injuries,45021,"Fujishima, Eisuke",Cruciate Ligament Surgery,2019-07-09,?
Asia,Japan,J1 League,2019,Kawasaki Frontale,injuries,15037,"Hasegawa, Tatsuya",Medial Collateral Ligament Tear,2020-07-23,?
Asia,Japan,J1 League,2019,Kawasaki Frontale,injuries,45018,"Nakamura, Kengo",Fitness,2020-07-28,?
Asia,Japan,J1 League,2019,Sanfrecce Hiroshima,injuries,1297,"Kashiwa, Yoshifumi",Biceps femoris muscle injury,2020-07-05,?
Asia,Japan,J1 League,2019,Shonan Bellmare,injuries,44775,"Ohashi, Yuki",Acromioclavicular Separation,2020-03-07,?
Asia,Japan,J1 League,2019,Shonan Bellmare,injuries,15008,"Umesaki, Tsukasa",Torn Meniscus,2020-06-05,?
Asia,Japan,J1 League,2019,Yokohama F Marinos,injuries,1224,"Park, Il-kyu",Hand fracture,2020-06-15,?
Asia,Japan,J1 League,2019,Yokohama F Marinos,injuries,73307,"Saneto, Yuki",Hamstring Injury,2020-07-05,?
Asia,Republic of Korea,K League 1,2020,Jeonbuk Hyundai,?,26824,"Lee, Yong",,?,?
